article,category,date,source,title
금융감독원 금감원 라임 펀드  사모펀드를 불완전 판매한 하나은행에 업무 일부정지  중징계를 내렸다 금감원은  제재심의위원회 제재심 열고 하나은행에 대한 종합검사 결과 조치안을 심의했다 하나은행 관련 제재심은 지난해   이어 이날 번째로 열렸다 제재심은 하나은행의  사모펀드 불완전 판매가 자본시장법 위반에 해당된다고 보고 업무 일부정지  과태료 부과를 금융위원회 금융위 건의하기로 했다 영업 일부 정지는 영업 허가 또는 등록 취소 영업 업무 전부 정지 다음으로 제재 수위가 높은 중징계다 영업 일부 정지를 받으면 징계가 끝난 시점부터  동안 신사업 진출에 제한을 받는다 제재심은 하나은행의 관련 임직원에 대해서는 견책 면직을 심의했다 자본시장법상 직원 면직은 금융위 조치사항으로 금융위에 건의할 예정이다 다만 지성규 하나금융지주 부회장의 내부통제기준 마련 의무 위반사항은 재판 결과를 지켜보기 위해 이번 제재심에서 심의하지 않았다 지난해  금감원은 하나은행이 대규모 환매 중단 사태를 일으킨 라임펀드  비롯해 이탈리아 헬스케어펀드  독일 헤리티지펀드  디스커버리펀드  사모펀드를 불완전 판매했다며 기관경고를 사전 통보했다 이날 제재심에서 높은 수위의 징계가 의결됐다 당시 하나은행장이었던 부회장에게는 문책경고를 통보했다 금감원은 제재심은 심의 대상이 다수 소비자 피해 발생 물의를 일으킨 중요 사안인 점을 감안해 그간 차례에 걸쳐 제재심의위원회를 개최했다며 다수의 회사 관계자들과 검사국의 진술 설명 상호 반박 내용을 충분히 청취하고 사실관계를 면밀히 살피는 심도 있는 심의 의결을 통해 결정했다고 밝혔다 제재심은 금감원장 자문기구로 법적 효력이 없다 최종 제재 내용은 추후 조치 대상자별로 금감원장 결재 증권선물위원회 심의 금융위 의결을 거쳐 확정된다,경제,20220128,경향신문,"금감원, 사모펀드 불완전 판매 하나은행 '업무 일부정지 3개월' 중징계"
지난해 산업생산과 소비 투자가  만에 트리플 증가를 기록했다 코로나19 위기 첫해인  지표가 악화했던 대한 기저효과를 고려하더라도 지난해 경기가 강한 회복세를 보였다는 의미로 풀이된다 통계청이  발표한   연간 산업활동동향에 따르면 지난해 산업 생산지수 원지수 농림어업 제외  전년보다 증가했다 이는  이후  만에 최대폭 증가다 제조업을 포함한 광공업 생산이 서비스업 생산이 각각 늘었다 소비 동향을 보여주는 소매판매액지수 불변지수  전년보다 늘어  이후 가장 많이 증가했다 설비투자도 늘었다 연간으로 생산과 소비 투자가 일제히 늘어난 트리플 증가는  이후  만이다 지난해  전산업생산은 전월보다 증가했다 제조업 비롯한 광공업 생산이 늘어 전산업생산 증가를 견인했다 다만 서비스업 생산은 감소했다 소매판매액지수는 늘었고 설비투자는 줄었다 현재 경기를 나타내는 동행지수 순환변동치는   상승했다 하지만 향후 경기를 예측하는 선행지수 순환변동치는   하락해  이후  연속 하락세를 이어갔다,경제,20220128,경향신문,"지난해 '산업생산, 소비, 투자' 일제히 증가"
국토교통부가 수도권 출퇴근길의 혼잡을 해소하기 위해 올해  전기버스  추가로 도입하는 광역버스 서비스를 확대한다 국토부 대도시권광역교통위원회 대광위 수도권에 광역버스 공급을 확대하고 서비스 수준을 향상하기 위해 광역버스 예산을 지난해보다  증액한  편성했다고  밝혔다 대광위는 늘어난 예산으로  전기버스 도입 광역버스 준공영제 확대 출퇴근 시간 증차 운행 등을 추진할 방침이다  전기 광역버스 도입 사업은 광역버스의 좌석 수를 확대하면서 탄소 중립 실현에도 기여하고자 국가 연구 개발 사업으로 개발된  전기버스를 광역버스 노선에 투입하는 것이다 현재  운행 중으로 올해 말까지  추가 도입되면  늘어난다  전기버스 도입 이후 해당 노선의 하루 승차 인원은   증가했지만 차내 혼잡도는 오히려 에서 13 포인트 줄었다 전기버스  운송능력이 기존 광역버스 대비 향상돼 출퇴근 시간대 도로 정체 완화에도 기여할 있을 것으로 기대된다 대광위는 준공영제 도입 노선을 현재    이상 확대하고 국비 지원 비율도 기존 에서 상향할 예정이다 광역버스 준공영제는 정부가 광역버스 노선을 관리하고 재정을 지원하는 사업이다 민간이 운영하다 지난해 준공영제로 전환된 노선의 경우 이전 대비 운행 횟수가 증가했고 배차 간격은    단축됐다 대광위는 이와 함께 올해 출퇴근 시간대 전세버스를 하루  투입할 계획이다 대광위는 현재 광역버스 노선에 전세버스를 추가로 투입하는 출퇴근 시간대 증차운행 사업을 진행하고 있다 지난해  노선에 하루  전세버스가 추가로 투입되면서 출퇴근 시간대 좌석 공급량이 늘었고 평균 배차 간격도    단축됐다,경제,20220128,경향신문,수도권 출퇴근 혼잡 줄이기 위해 2층 전기버스 35대 추가도입
고승범 금융위원장 사진  최근 코스피의 낙폭이 과도한 측면이 있다고 말했다 위원장은 이날 주식시장 개장 전인 오전  금융시장 점검회의를 열고 어제 국내 증시가 폭으로 하락한데 이어 간밤 증시도 상승하다가 하락하는 시장의 변동성이 지속되고 있는 양상이라면서 이같이 말했다  현지시간 미국 P500지수는 나스닥 지수는 다우지수는 각각 하락했다 위원장은 코스피가 최근  동안  가까이 하락하는 주요국 대비 낙폭이 과도한 측면이 있는 것이 사실이라면서 주요국 대비 높은 경제성장률과  이어지고 있는 수출호조 기업이익 한국 경제의 기초여건이 양호한 만큼 과도한 불안심리를 갖는 것은 바람직하지 않다고 말했다 최근  동안 코스피는 하락한 반면 P500지수는 하락했고 일본 대만 독일 하락폭도 코스피보다 작았다 위원장은 간부들에게 현재 미국 통화정책 기조의 빠른 전환 러시아-우크라이나 갈등 오미크론 변이 확산 글로벌 공급망 교란 문제 금융시장에 영향을 주는 대외발 변수가 많은 만큼 국내 증시가 휴장하는 연휴에도 해외 시장 동향 주요 이슈 추이 등을 긴장감을 가지고 모니터링하면서 금융시장의 변동성 완화를 위해 만전을 기해 달라고 당부했다,경제,20220128,경향신문,"고승범 ""코스피 최근 낙폭 과도"""
SK하이닉스가 반도체 시장 호황에 힘입어 지난해 매출  돌파하며 사상 최대 실적을 기록했다 SK하이닉스는 지난해 매출이  전년 대비 늘어났다고  공시했다 이는 반도체 슈퍼사이클 초호황기 때인   실적을  만에 뛰어넘은 창사 이래 최대 실적이다 전년 영업이익은  전년 대비 증가했다 영업이익 역시   이후  만에 최대치다 SK하이닉스의 실적 호조는 코로나19 장기화 등에 따라 원격 근무 학습 수요 데이터센터 메모리 반도체 수요가 급증한 때문으로 분석된다,경제,20220128,경향신문,"SK하이닉스, 지난해 매출 40조원 돌파 사상 최대실적"
코스피가  개장  만에  아래로 떨어졌다 코스피지수는 이날 오전  전날보다  하락한  기록한  오르 내리고 있다 오전  현재 개인과 기관이 각각   순매수했으나 외국인이  순매도하면서 낙폭을 키웠다 이날 코스피는 전날보다 13 오른  시작해 장중 전날보다 20 오른  기록하기도 했으나 매도 물량이 쏟아지면서  하락했다 코스피가 장중  무너진 것은   34 이후  만이다 코스닥은 오전  현재  하락한  기록 중이다,경제,20220128,경향신문,"코스피, 상승 출발 후 2600선 붕괴"
국내 주식 시장이 휴장하는 연휴를 틈타 증권사들이 서학개미를 잡기 위한 해외주식 이벤트에 나섰다  한국거래소에 따르면 국내 주식시장은 연휴인 31  휴장한다 증권사들은 국내 주식시장 휴장 미국과 영국 해외 주식 시장은 계속되는 연휴를 맞아 서학개미 고객을 늘리기 위한 이벤트에 나섰다 해외 주식 시장 춘절을 지내는 중국 대만 베트남 주식 시장은    휴장한다 홍콩 주식 시장은  오후부터   까지 휴장한다 KB증권은   자정까지  나스닥 종가를 맟춰라 이벤트를 벌인다 연휴 마지막 날인  나스닥 종합지수 종가를 예측해 모바일 트레이딩 시스템 MTS 입력하면 소수점 자리까지 맞춘 고객에게는  상당 정수까지 맞춘 고객에게는  상당의 TIGER 소수점 주식을 지급하는 이벤트다 지수를 맞추지 못한 고객 중에도  추첨해  상당의 TIGER 소수점 주식을 지급한다 TIGER 주식은 테슬라 IBM GOOGL 일렉트로닉아츠 로블록스로 구성된 포트폴리오를 말한다 KB증권은   달간은 해외주식 거래가 처음인 개인고객을 대상으로 해외주식  소수점 주식 받고 시작하기 이벤트도 진행한다 해외주식 거래 경험이 없는 고객이 처음으로 해외주식을  상당의 소수점 주식을 지급하는 이벤트다 해당 고객은  종목 테슬라 애플 알파벳A 마이크로소프트 아마존닷컴 AMD 넷플릭스 페이스북 원하는 종목을 선택할 있으며 주식은  일괄 지급된다 이벤트 모두 환전 없이 원화로 해외주식을 거래할 있는 KB증권 글로벌원화마켓 서비스를 가입해야 한다 삼성증권도 연휴 기간   동안 해외주식 거래 일수에 따라 최대  상당의 상품권을 제공하는 이벤트를 진행한다 이벤트 기간동안 추첨을 통해  이상 해외주식 거래한   상당의 상품권  이상 해외주식 거래한   상당의 상품권  이상 해외주식 거래한   상당의 상품권을 제공하는 이벤트다 삼성증권은  진행해온 해외주식 거래 경험이 없었던 고객을 대상으로 최대  지원하는 해외주식은 최대 백불로 이벤트도 올해 이어서 진행한다 KB증권 삼성증권 한국투자증권 증권사들은 연휴 기간 해외주식 거래 고객을 위해 해외주식 데스크를 정상 운영한다 하이투자증권은 전산센터 이전을 위해  오전   정오까지 해외주식을 포함한 모든 고객 서비스를 일시 중단한다,경제,20220129,경향신문,서학개미 잡아라..증권사들 설연휴 앞두고 해외주식 이벤트
귀성길은 오늘  가장 막혀 오후  해소 연휴 첫날인  오전 전국 고속도로 곳곳에서 정체 구간이 나타나고 있다 한국도로공사에 따르면 이날 오전  기준 경부고속도로 부산 방향은 반포 서초 오산부근 남사부근 안성분기점 망향휴게소 부근 옥산분기점 구간에서 정체가 빚어지고 있다 서해안고속도로 목포 방향은 팔탄분기점 화성휴게소 부근 서평택 서해대교 구간에서 차들이 서행하고 있다 중부고속도로 남이 방향은 호법분기점 남이천IC부근 대소분기점 진천부근 진천터미널부근 구간에서 차가 막힌다 이날 전국 교통량은  가운데 수도권에서 지방으로  지방에서 수도권으로  이동할 것으로 관측됐다 도로공사는 연휴 첫날로 귀성 방향이 연휴 기간 가장 혼잡할 것이라고 예상했다 귀성길 정체는 이날  정점에 이르다 오후  해소될 것으로 전망됐다 오전  승용차로 서울 요금소를 출발해 전국 주요 도시까지 걸리는 시간은 부산   광주   울산   대구   대전   강릉  ,경제,20220129,경향신문,서울→부산 6시간 50분..설연휴 첫날 귀성길 정체 시작
식품업계에 모디슈머 마케팅이 대세로 자리잡고 있다 모디슈머는 modify 수정하다 consumer 소비자 합성어로 다양한 재료를 자신만의 방식으로 조합해 새로운 맛을 만들어 내는 이들을 뜻한다 사회관계망서비스 SNS 에서 유행하는 조리법을 활용하거나 모디슈머 요청으로 출시되는 신제품이 최근 늘고 있다 팔도는 중량을 이상 늘린 팔도비빔면  지난  선보였다 가격 인상은 없다 중량만 기존   늘려  한정 판매한다 이번 제품은 방탄소년단 BTS 비빔면 증량 요청이 현실화돼 화제가 됐다 BTS의 멤버 RM 김남준 라이브 방송에서 비빔면 컵을 즐기며  수준의 제품이 나왔으면 좋겠다고 주문을 하자 팔도가 화답한 것이다 그간 BTS는 팬들과 만나는 라이브 방송 등에서 팔도비빔면으로 다양한 방식의 요리법을 선보여왔다 팔도 관계자는 소비자의 피드백은 제품 개발에 가장 중요한 자산으로 봉지면도 중량을 늘린 제품을 준비하고 있다고 말했다 밀키트 전문 기업 마이셰프와 동원F B는 함께 진행한 국민셰프 레시피 서바이벌 밀키트 데뷔전 수상작 일부 제품 볼케이노참치 크림 누들떡볶이 다음달 상품으로 내놓는다 커피 전문점 스타벅스코리아는 지난달  고객이 직접 선택한  재료와 레시피로 만든 별의 샌드위치를 출시했다 모디슈머 마케팅에 가장 적극적인 곳은 농심이다 농심이 지난해  출시한 카구리 큰사발면은 출시 달여 만에  이상 팔리며 품귀현상까지 벌어졌다 기존 너구리에 카레 조각을 넣어 만든 카구리는 PC방에서 유행하는 조리법을 상품화했다 매콤하고 감칠맛 나는 국물이 특징으로  게임이 되는 맛으로 유명하다 농심은 카구리 전에도 영화 기생충 흥행에 힘입은 짜파구리 출시로 모디슈머 열풍을 이끌었다 주류업계와 편의점도 합류했다 편의점 GS25는 지난해  막걸리 업체 서울장수와 막사라는 제품을 내놨다  등산을 다니며 막걸리와 사이다를 섞어 먹는 것을 착안해 만들었다 알코올 도수 저도주인 막사는 기존 막걸리보다 달고 부드러워 즐기는 술을 선호하는 이들이 주로 찾는다 소비자들의 불편한 점을 해결하기 위해 상품 용기를 개발한 곳도 있다 삼양식품과 오뚜기는 지난해  점자 표기 용기면 제품을 선보였다 시각장애인이 라면을 구매할 점자 표기 제품이 없어 개선이 필요하다는 의견을 반영한 것이다 용기면 물을 맞추려면 용기 안에 손가락을 직접 넣어 확인해야 하는 불편함도 있었다 이를 개선하기 위해 용기 외부 확인선 삽입 점자표기 용기면을 개발해 출시했다 식품업계는 모디슈머 마케팅을 활용한 제품이 늘어날 것으로 보고 있다 신제품 출시보다 상대적으로 리스크가 덜하고 사회관계망서비스 SNS 등을 통해 브랜드 인지도를 높일 있어서다 업계 관계자는 이미 검증된 맛으로 제품을 출시해 마케팅 비용이 크게 들지 않고 기존 제품의 매출 상승 효과도 기대할 있다며 코로나19 사태를 계기로 요리를 즐기는 문화가 확산되면서 모디슈머 마케팅도 계속 진화될 것이라고 말했다,경제,20220129,경향신문,BTS 요청에 비빔면 증량..모디슈머 전성시대
설 연휴 첫날 전국에서 확진자가 속출했다   오후  전국 신규 확진자는  기록했다 방역당국과 지방자치단체에 따르면 이날  오후  코로나19 양성 판정을 받은 신규 확진자는  집계됐다 전날 같은 시간   적다  전인 지난  같은 시간  비교하면  이상 많은 확진자가 나왔다 이날 신규 확진자는 수도권에서  비수도권에서  발생했다 시도별로는 서울  경기  인천  대구  부산  경북  광주  대전  충남  전남  전북  강원  울산  경남  충북  세종  제주  등이다 집계를 마감하는 자정까지 시간이 남은 만큼  발표될 신규 확진자 수는 이보다 늘어난  기록할 것으로 보인다,경제,20220129,경향신문,오후 9시까지 1만3592명 확진..1만7000명대 예상
