article,category,date,source,title
이재명 더불어민주당 대선 후보는 연휴를 하루 앞둔  안보 코로나19 대응 행보에 집중했다 북한의 연이은 미사일 발사를 국론분열용이라고 강력히 규탄하며 문재인 정부와 차별화를 꾀했다 해병대 독립 공약도 발표했다 후보는 이날 경기 김포에 있는 해병대  방문해 북한이 하필 대한민국 대선이 이뤄지는 시점에 집중적으로 미사일을 발사했다며 이는 국론을 분열시키고 한반도의 불안정을 초래하는 행위로 매우 유감스럽게 생각하고 강력히 규탄한다고 밝혔다 후보는 안보에는 여야가 있을 없다는 차원에서 대선 후보들에게 공동선언을 제안했는데 함께 해주길 다시 한번 부탁한다고 말했다 후보는 전날 야당 대선 후보들에게 한반도 긴장 조성행위 중단 대화 재개 협력 대선 개입 중지를 촉구하는 대북 공동선언을 제안했다 후보의 잇따른 북한 규탄 발언은 민주당 정부가 북한의 도발에 단호하지 못하다는 국민의힘 공세를 의식해서 나왔다 민주당 의원은  남성들의 안보관이 보수적인 상황에서 윤석열 후보가 선제타격론을 얘기하고 있다면서 민주당도 대화를 강조하되 도발은 규탄하는 유연한 태도를 보여야 한다고 말했다 후보는 해군에 소속된 해병대를 사실상 독립시키겠다는 깜짝 공약도 발표했다 그는 현재  체제를 해병대를 사실상 독립시키는  개편하겠다면서 해병대 전력과 독립성을 대폭 강화해 본연의 임무인 상륙작전 역량을 극대화하도록 준비하겠다고 밝혔다 해병대 전역자를 위한 해병대회관 건립도 약속했다 장병들에게는 선택적 모병제 도입과 병사 월급  지급도 거듭 약속했다 후보는 이어진 해병대 장병들과 간담회에서 징집병  감축이 목표라며  모병제로 모집하고  군무원으로 나머지  외부에 경계업무를 줘서 인력을 대체할 있다고 말했다 병사 월급 인상 계획에 대해서는 당장 내년부터 올리기 시작해서 임기 안에는  되게 것이라고 말했다 군필자 우대 공약으로는 가산점제는 위헌 결정이 나서 어렵다 그러면 호봉을 민간기업에서도 강제로 인정해주자고 했다 후보는 이날 오후에는 민주당 코로나19 위기대응특별위원회와 함께 서울 용산의 대한의사협회도 방문했다 후보는 간담회에서 신속한 역학조사 완벽한 검사 전원 격리치료 방식을 앞으로 유지하기가 어렵다는 전문가들의 판단이 잇따르고 있는 상황에서 유연화된 방역체계를 구축할 필요가 있다며 동네 병원 중심의 진단 치료 시스템을 도입해야 한다고 말했다 후보는 정부가 편성한  규모 추가경정예산안 추경 대해 태부족이라며 선거 전에 최대한 정부로 하여금 여야 협의를 통해 최소  확보하도록 노력하겠다고 했다 대선이 끝난 후에  정도는 긴급재정명령 또는 추가 추경을 통해 반드시 확보해 코로나 방역과 경제 활성화에 사용할 있도록 하겠다고 말했다,정치,20220128,경향신문,"해병대 만나 ""북한 미사일 강력 규탄"" 외친 이재명..해병대 독립 공약도"
국민의힘이 대선과 함께 치러지는 오는   보궐 선거에서 대구 남구 지역은 공천하지 않기로  결정했다 권영세 국민의힘 보궐선거 공천관리위원장은 이날 오전 비공개로 공천관리위원회를 마친 여의도 당사에서 브리핑을 열고 이같이 밝혔다 위원장은 국민의힘 공천신청 공모대상은  지역 서울 서초갑과 종로 경기 안성 충북 청주상당  지역이다 대구 남구 지역은 공천 하지 않기로 결정했다고 밝혔다 해당 지역은 아들의 화천대유 퇴직금  의혹으로 국회의원직을 내려놓은 곽상도 의원 지역구였다 위원장은 이재명 더불어민주당 대선 후보가 성남시장 당시 설계한 건국이래 최대 부정부패 사건인 대장동 게이트에 대한 국민의 분노가 사라지지 않은 상황에서 대구 남구 선거는 대장동 게이트 관련 범죄 혐의로 수사중에 발생했다고 말했다 위원장은 이어 공당으로서 무한한 책임감을 느끼고 책임정치 실현 차원에서 내려 놓는다면서 내로남불 문재인 정권과 다른 새정치 의지로 받아들여 달라 보궐 후보 중심으로 대선 준비하던 대구 중남구 시민과 당원 여러분께 심심한 유감을 표한다고 했다 이번 결정은 더불어민주당이 자당 책임이 있는 서울 종로 경기 안성 충북 청주상당 무공천을 천명하면서 국민의힘 의원 사퇴로 보선이 치러지는 서초갑 대구 중남구의 무공천을 압박한 것에 대한 대응으로도 풀이된다 부동산 부당거래 의혹으로 사퇴한 윤희숙 의원 지역구인 서울 서초갑은 공천을 진행하기로 했다 위원장은 서초갑은 의원 사퇴가 범죄적 행동 행위와 전혀 관계가 없어서 공천하기로 했다고 말했다 서울 종로 공천 방식을 두고는 전략공천을 하지 않기로 결정된 없다 공천 방식은 공천관리위에서 계속 고민하고 결정할 생각이라고 말했다,정치,20220128,경향신문,"국민의힘 ""대구 중남, 재보궐 공천 않기로 결정..서초갑은 공천"""
합참은  북한이 오늘 오전   자강도 무평리 일대에서 동해상으로 고각으로 발사한 중거리 탄도미사일 IRBM  포착했다며 세부 제원은 한미 정보당국이 정밀 분석중 이라고 발표했다 북한의 올해  무력시위다 신년 초부터 이어진 북한의 미사일 도발에 미국은 독자적인 제재 카드를 꺼내 들었지만 북한은 무력시위를 이어가고 있다 합참 관계자는 우리 군은 북의 추가발사에 대비해 관련 동향을 추적 감시하면서 대비태세를 유지하고 있다고 말했다 북한의 이날 발사는 지난  단거리 탄도미사일인 지대지 전술유도탄  발사한 사흘 만이다 북한은 지난   극초음속미사일이라고 주장하는 탄도미사일을 연이어 발사했다 이어   북한판 이스칸데르 북한판 에이태킴스로 불리는 KN-23과 KN-24를 각각  쐈다  내륙 지역에서 장거리 순항미사일을  발사한 이어  탄두 개량형 KN-23으로 추정되는 단거리 탄도미사일  발사했다 합참은 북한이 연휴 기간 미사일을 추가 시험발사할 가능성에 대비해 왔다 북한은 올해 들어 잇따라 미사일을 쏘아 올리고 있다 북한은 작년       미사일을 발사한 적이 있기 때문에 달이라는 짧은 기간에 미사일을 연속적으로 발사하는 것이 이번이 처음은 아니다 앞서    스커드 계열 미사일과 방사포 등을 각각  발사했다 그러나 이번처럼  미사일 발사를 월간 기준 사상 최다 기록이다 정성장 세종연구소 북한연구센터장은 지난  올해의 북한 미사일 발사는 북미 관계의 급속한 냉각으로 연결되고 있다는 점에서 지난해  차이가 있다고 말했다,정치,20220130,경향신문,"합참 ""북, 자강도에서 동해로 탄도미사일 발사""..3일만에 또 발사"
문재인 대통령은  북한이 동해상으로 탄도미사일 추정 발사체를 쏘아올린 것과 관련해 청와대에서 국가안전보장회의 NSC 전체회의를 소집하기로 했다 대통령이 NSC 전체회의를 소집한 것은 취임  지난해  미국 바이든 행정부 출범에 맞춰 회의를 주재한 이어  만이다 정부는 그간 북한의 발사체에 서훈 국가안보실장이 주재하는 NSC 상임위원회 회의로 대응해왔다 이번에 대통령이 직접 회의를 주재하기로 것은 새해 들어 거듭되고 있는 북한의 도발 때문으로 보인다 앞서 합참은 북한이 오늘 오전  자강도 일대에서 동해상으로 탄도미사일로 추정되는 발사체  발사했다고 밝혔다 북한의 올해  무력시위다,정치,20220130,경향신문,"문 대통령, 북한 미사일 발사에 NSC 전체회의 소집"
윤석열 국민의힘 대선 후보가 연휴 이틀째인  어린이 도서관 대출 보호자 동의절차를 개선하겠다는 공약을 발표했다 후보는 이날 페이스북에 한부모 가정이나 조손 가정 맞벌이 등의 사정으로 법정대리인이 직접 도서관에 방문하기 어려운 경우에는 회원증을 발급받을 없어 가정형편상 공공도서관 대출을 많이 이용해야 하는 아이들이 오히려 아동도서를 빌리지 못하고 발길을 돌려야 하는 경우가 빈번하게 발생하고 있다며 이같이 밝혔다 이번 정책은 석열씨의 심쿵약속  공약이다 현재  미만의 어린이의 경우 도서관 대출 회원증을 발급받으려면 법정대리인이 직접 도서관에 방문 회원증 발급에 필요한 개인정보의 수집 이용에 대한 동의 절차를 거쳐야 한다 후보는 학교나 지역사회 기관의 협력을 통한 신분보증제도와 비대면 보호자 인증 시스템 등을 도입해 보호자 법정대리인 도서관을 직접 방문하기 어려운 경우에도 아이들이 도서를 대출하는 어려움이 없도록 하겠다고 밝혔다 신분보증제도는 법정대리인의 동의 절차를 거치기 어려운 한부모 조손 가정 아이들에게 학교나 주민센터 지역사회 기관에서 아이의 신분을 보증해 도서관 대출 회원증을 발급해주는 제도를 말한다,정치,20220130,경향신문,"윤석열 ""어린이 도서관 대출 시 보호자 동의절차 개선"""
문재인 대통령은  오전  국가안전보장회의 NSC 긴급 전체회의를 소집해 원인철 합참의장으로부터 북한의 중거리 탄도미사일 발사 관련 동향을 보고받고 안보상황과 대비태세를 점검했다 대통령은  중거리 탄도미사일 발사에서 장거리 탄도미사일 발사로 이어지면서 긴장이 고조되던 시기와 비슷한 양상을 보이고 있다고 지적했다고 청와대는 밝혔다 대통령은 한반도 비핵화와 한반도 평화 안정 외교적 해결을 위한 국제사회의 노력에 대한 도전이자 유엔 안보리 결의에 위배되는 행위로 있다며 북한은 긴장 조성과 압박 행위를 중단하고 양국을 비롯한 국제사회의 대화 제의에 호응할 것을 촉구했다 이어 굳건한 미동맹을 바탕으로 관련 동향을 면밀히 주시하고 긴밀한 협의 하에 대응 조치를 취해 나갈 것을 당부했다 아울러 대통령은 북한이 그동안 대화 의지를 표명하면서 핵실험 대륙간탄도미사일 발사 유예 선언을 지켜왔는데 중거리 탄도미사일 발사라면 모라토리엄 선언을 파기하는 근처까지 다가간 것으로 생각할 있어 관련 사항들을 염두에 두고 논의하기 바란다고 지시했다 대통령이 NSC 전체회의를 소집한 것은 취임  지난해  미국 바이든 행정부 출범에 맞춰 회의를 주재한 이어  만이다 앞서 합참은 북한이 오늘 오전  자강도 일대에서 동해상으로 탄도미사일로 추정되는 발사체  발사했다고 밝혔다 북한의 올해  무력시위다,정치,20220130,경향신문,"문 대통령 ""북, 중거리 미사일 발사면 모라토리엄 선언 파기 근처 간 것"""
더불어민주당 이재명 후보는  북한의 미사일 발사를 강력히 규탄하며 여야 대선후보 대북 공동선언을 다시 한번 촉구한다고 밝혔다 후보는 이날 페이스북에 북한이 오늘 아침 또다시 탄도미사일을 발사했다 도발 수위가 점점 높아지고 있다 엄중하게 규탄한다며 이같이 적었다 후보는 북한의 도발 행위는 한반도의 평화와 안정을 해치는 매우 잘못된 행위라며  일촉즉발의 군사적 긴장고조 상황으로 되돌아갈까 심히 우려된다고 밝혔다 이어 지난  북한의 도발과 대선개입 중단을 촉구하는 여야 대선후보 공동선언을 제안한 있다 야당 대선 후보들이 이에 응해주실 것을 다시 한번 요청드린다고 덧붙였다 앞서 문재인 대통령은 이날 오전  국가안전보장회의 NSC 긴급 전체회의를 소집해 원인철 합참의장으로부터 북한의 중거리 탄도미사일 발사 관련 동향을 보고받았다 합참은 북한이 오늘 오전  자강도 일대에서 동해상으로 탄도미사일로 추정되는 발사체  발사했다고 밝혔다 북한의 올해  무력시위다,정치,20220130,경향신문,"이재명 ""북 미사일 발사 규탄..여야 후보 대북공동선언 촉구"""
북한이  중거리 탄도미사일을 발사하자 한국 합동참모의장과 주한미군 사령관이 대응 방안을 논의했다 합참은 이날 원인철 합참의장이 라캐머라 한미연합사령관 주한미군 사령관과 북한의 미사일 발사 직후 전화 통화를 했다고 밝혔다 합참은 의장과 라캐머라 사령관이 공종 통화를 통해 미사일 발사 상황을 공유하고 한미연합방위태세를 굳건히 것을 확인했다고 설명했다 앞서 합참은 북한이 오늘 오전   자강도 무평리 일대에서 동해상으로 고각으로 발사한 중거리 탄도미사일 IRBM  포착했다며 세부 제원은 한미 정보당국이 정밀 분석중 이라고 발표했다 북한의 올해  무력시위다 미사일 비행거리는 고도는 탐지됐다 미사일이 정점에 이르기 직전의 최고 속도는 마하 정도였던 것으로 전해졌다 이번 미사일은 정상 각도  발사했다면 최대 4500 이상 비행했을 것으로 추정된다 북한이 중거리급 이상의 탄도미사일을 발사한 것은   대륙간탄도미사일 ICBM 급인 화성-15형을 발사한 이후   IRBM을 것은   화성-12형 발사 직후 이후   만이다 이후 최고 수위 도발이다 IRBM은 미국의 분류 기준상 사거리 5500 탄도미사일이다 사거리 2500 준중거리탄도유도탄 MRBM 보다 사거리가 길고 이상인 ICBM보다는 짧다 북한이 검토하겠다고 했던 핵실험 ICBM 발사 유예 모라토리엄 철회를 실제 행동으로 옮길 가능성이 커졌고 문재인 정부의 한반도 평화프로스세도 좌초될 위기에 빠졌다 일본 언론도 히로카즈 관방장관이 오늘 오전 임시 기자회견에서 북한이 오전   북한 내륙에서 탄도미사일  동쪽으로 발사했다고 밝혔다 마쓰노 장관은 상세한 내용은 지금 분석 중이지만 해당 탄도미사일이 통상 탄도 궤도라면 최고 고도는 비행시간은  정도로 비행해 동해 일본의 배타적경제수역 EEZ 밖에 낙하한 것으로 추정된다고 말했다 일본 정부 관계자는 북한의 이날 탄도미사일 발사와 관련해 평소보다 높은 각도로 발사해 사거리를 억제하는 고각 발사라는 견해를 보였다고 교도통신은 전했다 일본 정부는 북한의 미사일 발사와 관련해 기시다 후미오 총리가 주재하는 국가안전보장회의 NSC 개최했다,정치,20220130,경향신문,"북 미사일 '비행거리 800km, 고도 2000km'..합참의장·연합사령관 통화"
이재명 더불어민주당 대선 후보와 윤석열 국민의힘 대선 후보는 설연휴 첫날인  별도의 공개 일정 없이 대선 후보 토론 준비에 주력한다 후보는 이날 오후 지역민영방송협회와의 인터뷰 외에 다른 공식 일정을 잡지 않았다 후보 역시 공식 일정을 잡지 않았다 민주당과 국민의힘은 전날 여야   후보가 참여하는 TV 토론을 다음달  그에 앞서 오는  저녁 후보의 양자 토론을 열기로 합의했다 자세한 시간과 방식은 후보 측이 만나 조정키로 했다 전날에 열리는 양자 토론은 이번 대선의 가장 분수령으로 꼽히는 민심의 향배에 영향을 미칠 있어 후보 모두 철저히 준비하는 모습이다 며칠 뒤인 오는  국민의당 안철수 정의당 심상정 후보까지  TV 토론이 열리다보니 대선 후보들이 연휴 내내 토론회 준비를 치열하게 것으로 예상된다,정치,20220129,경향신문,"이재명·윤석열, 공식 일정 없이 '설 민심' 가를 토론 준비에 주력"
이재명 더불어민주당 대선 후보는  전국 대중교통에   공공와이파이를 도입하겠다고 공약했다 이재명 후보는 이날 사회관계망서비스 SNS  소확행 소소하지만 확실한 행복 공약으로 전국 대중교통  공공와이파이 도입을 발표했다 퇴근 시간에 이용객 쏠림으로 속도가 저하되는 등의 문제가 있는 공공와이파이의 질을 전면 개선하겠다는 내용이다 지난해 과학기술정보통신부의 통신 서비스 품질평가에 따르면 지하철 와이파이 속도는 상용 와이파이의 1 수준에 그치고 있다 후보는 전국의 버스와 지하철 와이파이를  슈퍼 와이파이로 바꾸겠다고 약속했다  전국  달하는 시내버스 아니라 마을버스와 광역버스 시외 고속버스까지  공공와이파이를 확대한다는 계획이다 과기부와 통신사가 일부 구간에서 시범 추진했던  백홀의 지하철 와이파이를 공항철도를 포함한 광역 지하철 전반으로 확대하고 역사에 열차가 도착할 와이파이 혼선으로 발생하는 끊김 문제도 개선하겠다고 밝혔다 민주당 선거대책위원회 관계자는 이용자 누구나 대중교통에서도 마음껏 동영상 드라마 SNS를 즐길 있는 시대를 만들겠다고 밝혔다,정치,20220129,경향신문,"이재명 ""전국 대중교통에 5G 공공와이파이 도입하겠다"""
