article,category,date,source,title
4년간 끌어온 세계무역기구 WTO 한미 세탁기 세이프가드 긴급수입제한 분쟁에서 한국이 승소했다 산업통상자원부는  WTO가 전날 현지시간 회람한 패널 보고서에서 미국의 세탁기 세이프가드가 WTO 협정에 불합치한다고 판정하고 사건을 제소한 한국 정부의 손을 들어줬다고 밝혔다 정부는 수입산 세탁기로 인해 심각한 피해를 보고 있다는 자국 업계의 주장을 수용해   세탁기 세이프가드를 시행 중이다  시행 한차례 연장됐다 현재 완제품 세탁기에 대한 연간 할당 쿼터 물량은   이하 물량에는  초과하는 물량에는 관세를 각각 부과한다 부품에 대한 쿼터 물량은  쿼터 수입량에는 관세를 부과하지 않고 쿼터를 초과하면 관세를 매긴다 정부는 미국의 세이프가드가 WTO 협정에 불합치한다고 보고   WTO에 제소했다 WTO 패널은 미국이 주장한 수입 증가 산업 피해 원인이 WTO 협정 요건을 충족하지 못하고 수입 물량 증가 분석이 논리적 적정성 측면에서 미흡하다고 판정했다 미국이 설정한 국내 산업 범위와 심각한 피해의 존재 입증도 부적절하며 수입산 세탁기의 가격 효과 분석과 수입 물량과 산업 피해 간의 상관관계 분석은 미흡하다고 평가했다 미국이 이번 판정 결과를 그대로 수용하면 분쟁이 종료된다 다만 분쟁해결 절차를 완료하기까지  가량이 걸리므로 내년  세이프가드는 그대로 적용될 것으로 보인다 반대로 미국이 상소할 경우에는 분쟁이 이어진다 현재 WTO 상소기구가 기능을 하지 못하고 있어 분쟁이 장기화할 가능성이 높다 윤창현 산업부 통상법무정책관은 이번 패널 판정을 계기로 미국의 세탁기 세이프가드 조치가 조기에 종료될 있도록 노력하겠다고 말했다 국내 가전업체들은 이번 판정이 미국에서 직접 세탁기를 생산하는 체제를 갖춘 이후에 나온 만큼 직접적인 영향은 크지 않을 것으로 보고 있다 업체 관계자는 이미 국내 기업들이 미국 현지 생산체제를 갖춘 후에 나온 조치여서 영향은 제한적일 것으로 예상한다면서도 미국이 상소할 가능성은 높아 장기화는 불가피하다고 예상한다고 말했다 이어 다만 세탁기 이외 품목에 대한 세이프가드 남용에 제동을 거는 의미가 있을 것으로 기대하고 있다고 말했다,경제,20220209,경향신문,"정부, 미국과의 세탁기 분쟁서 승소"
코로나19로 지난  동안 여행사는  넘게 줄어든 반면 야영장은  이상 증가한 것으로 나타났다  한국관광협회중앙회의 조사 결과를 보면 지난해 기준 전국 관광사업체 수는  전년 대비  줄었다 코로나19 사태 전인  말과 비교하면  감소했다 관광사업체는 여행사 호텔 야영장 유원시설 관광편의시설 등이 포함된다 특히 여행사 감소세가 두드러졌다 여행사 수는     줄어든 이어 지난해 말에는  감소했다 코로나19로 세계 국경이 봉쇄되며 해외여행이 사실상 불가능해짐에 따라 지난  동안  줄었든 것이다 여행사들의 실적 부진도 이어지고 있다 최대 규모의 여행사인 하나투어도 올해 들어  연결기준  영업적자를 기록 중이다 반면 야외 별도 공간에서 소규모 단위로 휴식을 취할 있는 야영장은 꾸준히 늘고 있다 야영장 수는   지난해 말에는   증가했다 일반야영장이 지난해 현재   전보다  늘었고 자동차 야영장은   증가했다,경제,20220209,경향신문,"코로나19 이후, 여행사 1300개 넘게 줄어"
국제 유가가 고공행진을 이어감에 따라 정부가 유류세 인하 기간 연장을 검토하겠다고 밝혔다 수급 불안 시에는 정부 비축유 방출 등도 추진하겠다고 했다 산업통상자원부는  서울 무역보험공사에서 에너지 자원 수급관리 TF 제12차 회의를 열고 최근 러시아 우크라이나간 긴장 고조에 따른 국제유가 동향과 석유수급 대응계획 등을 점검했다 비상시 석유수급 대응계획에는 긴급할당관세 도입 등의 세제 지원과 함께 민간 원유 재고가 적정 수준에 미달되면 경계경보를 발령하고 비축유를 방출하는 방안이 포함됐다 산업부는 유류세 인하 기간 연장도 검토하기로 했다 박기영 산업부 제2차관은 국제유가 상승세가 지속될 경우 오는  시행 예정인 유류세 인하 기간을 연장하는 국민 경제 부담 완화 방안에 대해 관계부처와 지속적으로 협의해나가겠다고 말했다 최근 국제유가는 우크라이나를 둘러싼 지정학적 긴장이 고조되며 지난  기준 브렌트유의 배럴당 가격이  치솟았다 지난해  브렌트유의 가격이  수준이었던 점을 고려하면 달여 만에 올랐다 JP모건 투자은행들은 배럴당  이상의 고유가 가능성도 제기하고 있다 정유업계는 국내 물량 러시아에서 들여오고 있지만 아직 국내 석유 수급에 차질은 없다고 설명했다 위기 발생 대체 수입처 발굴 등을 통해 대응할 예정이라고 덧붙였다 석유공사는 수급 위기에 대비해 비상시 정부 비축유 방출 태세를 항시 확립하고 있다면서 유사시 해외 생산원유를 도입하는 추가적인 대응 방안을 마련하겠다고 밝혔다 산업부는 정유사에 국내 석유제품 가격 안정을 최우선으로 삼고 유가 급등 영향을 최소화하기 위해 협조해달라고 요청했다 국내 석유수급 모니터링을 철저히 진행하고 유사시 정부 비축유 방출 등을 통해 적기에 대응할 있도록 달라고 당부했다,경제,20220209,경향신문,"정부 ""유류세 인하 연장 검토..위기 시, 비축유 방출"""
NHN은  연결 기준 작년 매출은  영업이익은  잠정 집계됐다고 공시했다 전년보다 매출은 영업이익은 증가했다 순이익도 전년보다 늘어난  집계됐다  매출은 전년 동기 대비 전분기 대비 증가한  기록했다 영업이익은  전년 동기 대비 증가했으며 당기순이익은  흑자전환했다 부문별로 보면  게임 부문 매출은 모바일 게임과 웹보드 게임의 선전에 힘입어 전년 동기 대비 증가한  기록했다 지난해  출시한 신작 드래곤퀘스트 케시케시 효과와 컴파스 일본 이벤트 흥행 등으로 모바일 게임 매출이 전분기 대비 성장했다 결제 광고 부문은 페이코와 NHN한국사이버결제 거래 규모가 성장세를 이어가며 전년 동기 대비 전분기 대비 증가한  매출을 달성했다 커머스 부문 매출액은 증가한  기술 부문 매출액은 증가한  기록했다 같은 기간 컨텐츠 부문 매출액은  늘었다 NHN은 올해 게임 사업을 본격적으로 확대할 계획이다 게임 자회사  통합된 NHN빅풋을 중심으로 웹보드 게임에서 선두를 지키고 세계 게임을 하며 재화를 얻음 게임 사장 공략에 나설 예정이다,경제,20220209,경향신문,"NHN 지난해 매출, 전년 대비 17% 증가..게임·결제 부문 성장"
한국은행이 경제 뉴스를 분석해 경기 관련 심리를 추정한 지표를 앞으로 매주 공개한다 실제 경제 심리 변화를 빨리 포착할 있어 정책 대응 과정 등에서 참고할 가치가 것으로 기대된다 한은은 빅데이터 분석 기법을 이용한 뉴스심리지수 NSI 일별 월별로 작성해 한은 경제통계시스템 ECOS 매주 화요일 공개한다고  밝혔다 NSI는  작성된  언론사의 경제 분야 기사에서 표본 문장을 매일  무작위로 뽑은 긍정 부정 중립의 감성을 기계학습 방식으로 분류하고 문장 수의 차이를 계산해 지수화한 것이다 지수가  크면 기사에 나타난 경제 심리가 과거 평균보다 낙관적  작으면 비관적이라는 뜻이다 한은 경제통계국은   NSI를 개발해 시험편제를 거친 지난해  시험적으로 연구 결과물을 선보였고 같은  도입된 실험통계제도에 따라 이달부터 지수를 공개하기로 했다 한은에 따르면   지난달까지 월별 NSI를 실험적으로 작성한 결과 소비자심리지수 CCSI 선행종합지수 주요 경제지표와 대체로 비슷한 흐름이었다 NSI와 CCSI 최대상관계수는  가까운  높은 상관관계를 보였다 선행종합지수와 전산업 업황전망 기업경기실사지수 BSI 최대상관계수도 각각  높게 나타났다 NSI는 주요 경제지표에  선행하는 것으로 나타났다 최근 통계를 보면  NSI는    05 이후 처음 아래로 떨어졌다 한은 관계자는 최근 코로나19 확진자 수가 급증하고 미국이 긴축 정책을 예고하면서 주가가 내려간 데다 환율은 상승한 영향 등이 작용한 것으로 보인다라고 설명했다 다만  통계는 이달  수치만 반영된 것이어서 향후 달라질 있다 한은은 NSI를 일단 실험적 통계로 공개하고 향후 이용자와 전문가의 의견을 수렴한 국가통계로의 전환 여부를 결정할 방침이다,경제,20220209,경향신문,"한은, 뉴스로 파악한 경제심리지수 매주 공개"
부동산 편법거래 근절을 위해 조사기법이 보도 고도화된다 한국부동산원은  한국재정정보원과 부동산 시장 안정화 국가재정 운영 관리를 위한 업무협약 MOU 체결했다고 밝혔다 이번 업무협약은 부동산 이상거래 한국부동산원 보조금 부정수급 한국재정정보원 조사 분석기법을 공유하기 위해 마련됐다 협약을 통해 기관은 부정수급 조사 분석방법 부동산 실거래 조사 분석방법 공유 국유재산 가치평가 개선을 위한 정보공유 부동산 이상거래 탐지시스템 기능 제고를 위한 지원 등에 대해 상호협력하기로 했다 한국부동산원은 부동산 실거래 모니터링기관으로서 실거래 검증 조사업무를 수행하고 있다 협약을 통해 부동산 이상거래 분류 분석 기능을 강화해나갈 방침이다 부동산 거래가 폭증한  경우 시세띄우기 등을 목적으로 자전거래 불법 청약 편법 증여 매수 탈세 다양한 형태의 위법행위가 적발됐다 손태락 원장은 부동산 불법 편법 의심거래 조사를 위한 조사 분석 기법을 더욱 고도화해 부동산 시장 질서를 확립해 나가겠다고 말했다,경제,20220209,경향신문,"한국부동산원 ""불·편법 부동산거래 조사 고도화"""
지난해 공급대책을 통해 도입된 소규모주택정비사업 활성화를 위해 정부와 서울시가 후보지 공모에 나선다 사업지역으로 선정되면 도로 주차장 조성 등에 최대  지원된다 국토부와 서울시는  자치구를 대상으로 소규모주택정비 서울시 사업명 모아타운 후보지 공모를 시작한다고 밝혔다 공모 접수 기간은   기관은 자치구로부터 대상지를 접수받아 내부검토와 선정위원회 평가를 거쳐  내외의 사업지를  최종선정할 계획이다 소규모주택정비사업은 신축 노후주택이 혼재돼 광역 개발이 어려운 저층 주거지를 체계적으로 정비하기 위해 도입된 사업이다 사업 건축규제 완화 기반시설 국비지원 등의 특례가 제공된다 지난해에는 국토부에서  서울시에서   후보지가 선정됐다 공모에 참여할 있는 지역은  미만의 노후 불량건축물이 이상인 지역이다 재개발 추진 또는 예정 지역 도시개발구역 등은 공모대상에서 제외된다 공모를 통해 선별된 대상지가 소규모주택정비 관리지역 모아타운 으로 확정되면 지역에 필요한 도로 주차장 공원 기반시설 조성에 최대  국비와 시비를 지원받을 있다 후보지로 선정된 지역은 향후 자치구 주관으로 관리계획이 수립되고 주민공람 서울시 통합심의 위원회의 심의를 거쳐 관리지역 모아타운 으로 지정된다 후보지로 선정될 경우 국토부는 소규모주택정비 관리계획 수립 컨설팅과 주민설명회 등을 지원하고 서울시는 관리계획 수립비용 대상지별  내외 지원할 계획이다 국토부와 서울시는 사업 전후 지분쪼개기 투기수요를 원천 차단하기 위해 이번 공모 선정 발표 최초 고시되는  권리산정기준일로 고시할 예정이다 후보지에서 새로 건축행위를 경우 권리산정기준일까지 착공신고를 받아야 향후 해당 필지에 대한 분양권이 인정된다,경제,20220209,경향신문,"국토부, 서울시와 소규모주택정비사업 후보지 공모"
아시아나항공이  연속 영국 스카이트랙스로부터 서비스품질  5-star 항공사에 선정됐다고  밝혔다 영국 런던에 있는 스카이트랙스는 항공사를 평가하고 컨설팅하는 기관이다  세계 항공사를 대상으로 서비스 품질을 평가해   별을 부여하고 있다 아시아나항공은 코로나19 안전 등급에서도  항공사로 인증받았다 탑승객에게 방역 키트 제공 셀프체크인 비대면 서비스 확대 객실승무원 방호복 착용 방역 활동에서 좋은 평가를 받았다 정성권 아시아나 대표는  연속 서비스품질  항공사 달성에 이어 코로나19 안전 등급에서도  항공사에 선정돼 깊게 생각한다며 고객의 안전한 여행을 위해 일선 현장에서 노력한 아시아나 직원들에게 감사드린다고 말했다,경제,20220209,경향신문,아시아나항공 16년 연속 서비스품질 최고 평가받아
11일부터 반려견을 데리고 산책을 하거나 외출할 목줄이나 가슴줄 길이를  이내로 유지해야 한다 아파트 복도나 엘리베이터 내부 공용 공간에서는 반려견을 직접 안거나 목줄의 목덜미 부분을 잡아야 한다 이를 위반할 경우   과태료를 있다 농림축산식품부는 이런 내용의 동물보호법 시행규칙이  시행된다고  밝혔다 목줄 가슴줄 길이 제한의 경우 기존에는 별도 규정없이 길게 유지할 있었다 이로 인해 보호자의 통제를 벗어나 사고가 발생하거나 이웃 주민 갈등을 유발할 여지가 있었다 해외의 경우 미국 일부 주에서는 외출 반려견 목줄 길이를   제한하고 독일과 호주 등에서는  이내로 제한한다 전체 길이가 이상이라도 줄의 중간 부분을 잡는 등의 방법으로 반려견과 보호자 사이의 길이를 이내로 유지하면 안전규정을 준수한 것으로 본다 다가구주택 공동주택 공용 공간에서는 반려견을 안거나 목덜미를 잡아 돌발 행동을 방지해야 한다 이는 아파트의 복도나 엘리베이터 실내의 좁은 장소에서는 목줄 또는 가슴줄을 착용하더라도 반려견의 통제가 쉽지 않고 자칫 위협적인 행동으로 사람을 놀라게 하거나 물림 사고를 일으킬 있기 때문이다 중형견이나 대형견의 경우 허리를 굽혀 안거나 붙잡는 식으로 통제해야 한다 부득이하게 동물과 이동해야 때는 목줄이나 가슴줄의 길이를 최소화해 수직으로 유지하는 등의 조치를 해야 한다 이를 위반할 경우  적발시     이상  과태료를 부과받을 있다 김지현 농식품부 동물복지정책과장은 반려견과 함께 살아가기 위해서는 반려견에 대한 책임과 이웃 주민에 대한 배려가 필요하다며 이번 시행규칙은 다른 사람 동물과 동시에 반려견도 안전하게 보호하는 효과적인 조치라고 설명했다,경제,20220209,경향신문,"반려견 목줄, 11일부터 2m 이내로..위반 시 과태료 최대 50만원"
스타벅스 코리아는 오는  자원순환사회연대와 함께 일회용컵 없는 캠페인을 진행한다고  밝혔다 스타벅스는  하루 동안 스타벅스 매장에서 개인컵을 이용해 개인컵 할인 혹은 에코별 적립 혜택을 받은 스타벅스 리워드 회원  추첨으로 뽑아 사이즈 무료음료 쿠폰  증정한다  스타벅스 코리아 개점  의미인  회용컵 없는 날을 상징하는 숫자  곱해 정했다 고객이 본인 계정에 등록된 스타벅스 카드를 이용해 개인컵 혜택을 적용 받으면 행사에 자동으로 응모된다 스타벅스는  매월  회용컵 없는 날로 정해 일회용컵 대신 다회용컵 사용을 권장하는 친환경 캠페인을 전개해 오고 있다 올해에도 매월  진행하는 캠페인을 통해 개인컵 사용 동참 고객에게 다양한 혜택을 전달할 예정이다 향후 개인컵 사용이 많은 상위 고객 대상으로 특별선물도 준비 중이다 스타벅스는 개인컵 이용  할인 또는 에코별  적립 혜택을 제공해 오고 있다  할인 혜택을 기존   높인  개인컵 이용 건수는 전년 동기간 대비 증가했다고 스타벅스는 밝혔다 지난  달간 개인컵 주문 건수는  건으로 전년 동월 대비 증가했다 스타벅스 관계자는 고객 의견을 경청하면서 개인컵 사용에 따른 고객혜택 강화를 위해 에코별 추가 적립 시스템 개발 개인컵 권장 캠페인 등을 지속적으로 전개할 방침이라고 말했다,경제,20220209,경향신문,"""매달 10일에는 개인컵을 준비하세요"""
