article,category,date,source,title
더불어민주당과 국민의힘이 이재명 민주당 대선 후보와 윤석열 국민의힘 후보의 양자 TV토론을 오는  혹은  열자고 주관 방송사에 제안했다 윤석열 후보 TV토론 협상단인 성일종 국민의힘 의원은 이날 오전 국회 의원회관에서 후보 협상단과 회의를 마친 기자들과 만나 민주당 박주민 단장을 비롯한 양당  함께 모여 합의했다며 TV토론 날짜   오후   사이 중계를 방송사에 요청한다고 밝혔다 그는 만약 방송사들이 편성에 어려움이 있다면   같은 시간대 중계를 요청한다고 말했다 후보 협상단 박주민 민주당 의원은 국민의힘이 요청한     저희 민주당 수용했다며 다만 안을 방송사 사정상 수용하기 어렵다면 방송사가 임의로 합의한  하는 것도 저희는 가능하다고 밝혔다 양당은 TV토론 사회자 방송 시간 방식 등에 대해서는 추후 미팅에서 정하겠다고 전했다 양당은 전날 TV토론 날짜를 두고 신경전을 벌였다 민주당은 방송사에서 보내온 공문 내용대로  토론을 개최할 것이라고 발표했다 국민의힘은 합의된 사항이 아니라며 많은 시청자들이 있는  열자고 역제안했다 이날 협의에서도 양당은 TV토론 날짜에 이견을 보이며 언성을 높였다 의원은 연휴 전에 토론 하기로 합의했는데  갑자기 들고나오니 당황스럽다며 번이나 확인하고 합의문을 만들지 않았나라고 말했다 이는 지난  양당의  실무협상단 협상 결과를 말하는 것으로 당시 양당은 연휴 양자 TV토론을 시작하기로 한다고 밝혔다 의원은 맞는 말이라면서도 정확하게는 전이라고 했어야 했다 그보다 중요한 어느 시간대 어느 국민이 가장 많이 있을까 아닌가라고 반박했다 첨예했던 양측 입장과 달리 이날 협상은 시작한  만에 절충점을 찾았다 의원은 세대가 함께 모이고 좋은 시간대가 돼야 많은 국민들이 시청해서 국가 지도자 선택에 도움되리라는 생각이라고 말했다 의원은 방송사에서   된다고 하면  해야 한다는 입장이라고 전했다,정치,20220119,경향신문,"민주당·국민의힘 ""이재명·윤석열 TV토론, 30일 아니면 31일"" 방송사에 제안"
송영길 더불어민주당 대표가  안철수 국민의당 대선 후보와 김동연 새로운물결 후보 등과의 연대 가능성을 거듭 시사했다 대표는 사람 간의 단일화를 넘어 안철수 김동연 후보가 제기하는 내용들을 수용해서 통합할 있다고 말했다 대표는 이날 광주KBS 라디오 인터뷰에서 후보와의 연대 가능성을 묻는 질문에 후보에 달려있지 않겠는가라며 이같이 밝혔다 대표는 본인이 단일화하기는 쉽지 않을 거라 생각한다 지금 가능성은 완주 가능성이 높다고 생각하고 끝까지 완주해서 본인이 이길 가능성이 없다고 판단할 때에는 어느 쪽과 연합하든지 본인 구상을 실현해주는 조건으로 해야할 아닌가라며 후보가 생각하는 과학기술 강국 아젠다 의제 이재명 후보와 우리는 환영하고 수용하겠다는 입장을 밝힌 것이라고 설명했다 그는 이어 그런 차원에서 후보는 과학기술 부총리 제도도 신설하겠다는 공약을 것이라고 했다 후보 단일화가 안되더라도 향후 후보를 이재명 정부의 내각으로 영입하는 통합정부를 염두에 두고 연대를 있다는 뜻으로 풀이된다 다만 대표는 구체적으로 공동정부라는 개념을 떠나 후보 판단의 문제이지 우리가 왈가왈부할 문제는 아니다라며 후보가 일관되게 강조하는 유승민 후보의 정책을 수용했던 것처럼 정책을 누가 제안했느냐를 떠나서 포용해서 갖다 쓰겠다라는 것이라고 했다 그는 이어 좋은 것이라면 어떤 정파나 정당 소속 여부를 불문하고 최고의 인재를 등용해서 위기를 극복하는 정부를 구성하겠다는 입장이라고 말했다 후보가 지난  안일화 안철수로의 단일화 라는 단어를 언급하면서 야권 후보 단일화는 없다고 것과 관련해선 민주당은 후보가 제기하는 과학기술 강국 대한민국 안철수를 지지하는 사람들의 염원을 수용할 것이라며 김동연 후보도 마찬가지다 후보를 지지하는 분들과 후보가 제시하는 기회가 공정한 나라를 수용해서 통합하는 위기 극복에 가장 뛰어난 정부를 구성하겠다는 원칙을 가지고 대응해 나가겠다고 밝혔다 대표는 이날 보도된  클럽 관련 화천대유 대주주 김만배씨와 정영학씨 대화 녹취록에서 곽상도 의원 아들이 돈을 요구했다는 내용에 대해선 아연실색했다며 대장동 특검은 반드시 생각이다 상설특검법에 따라 대통령 선거가 끝나더라도 특검을 시행해 진실을 밝혀야 한다고 말했다 후보의 형수 욕설 파일이 추가로 공개된 대해선 국민의힘 측이 건진법사 문제가 너무 커지니 덮으려고 일부러 급하게 아닌가 생각된다며 사실상 이미 사람들은 아는데 재탕하는 거다 파일을 공개한 장영하 변호사가 개인적 감정 때문에 무리하는 같다고 주장했다 그는 윤석열 국민의힘 후보 부인 김건희씨  통화 녹취에 대해선 사실상 김씨가 후보 행동을 장악하고 영향력을 미칠 아니라 선거 캠프나 정치 현안에 관여하는 명백히 드러났다며 윤핵관 핵심이 김건희고 김건희와 친밀한 관계를 맺는 장제원 의원이 핵심이었단 가설이 신빙성이 있어지는 같다고 말했다,정치,20220119,경향신문,"송영길 ""사람 간의 단일화를 넘어 안철수·김동연의 가치 수용 가능"""
이재명 더불어민주당 대선 후보는  국가 공동체를 위한 희생에는 합당한 보상이 따라야 마땅하다며 군인 상해보험을 도입하겠다고 밝혔다 급식체계도 개선하겠다고 했다  남성 표심을 겨냥한 정책 행보로 풀이된다 후보는 민주당 선거대책위원회 평화번영위원회가 이날 서울 여의도 당사에서 대독한 병사  복지 공약문을 통해 이같이 밝혔다 후보는 지금까지 차례 관련 공약을 발표했다 지난해  국방 공약을 발표하며 선택적 모병제를 실시하고 병사 월급을   인상하겠다고 밝혔다 지난  소확행 소소하지만 확실한 행복 공약으로 병사 반값 통신요금을 약속했다 후보는 군인 상해보험을 시행하겠다고 밝혔다 후보는 전국 최초로 성남시와 경기도에 복무 청년 상해보험 제도를 도입했다는 점을 강조했다 후보는 현재 공무 사고는 군인재해보상법에 의해 지원하고 있지만 보상하는 사고 범위나 보상 수준이 미흡하다며 입대일부터 전역 귀가일까지 발생할 있는 모든 종류의 사고 피해를 보장하겠다고 말했다 위원회는 상해보험에 소요되는 예산은  추산된다고 밝혔다 현역 병사  인당  지급한다는 계획이다 후보는 급식체계를 개선해 식사의 질을 높이겠다고 밝혔다 후보는 급식의 질을 높이기 위해 현재 교육기관에서 시범 운영 중인 급식의 민간 외주 전환을 적극 확대하고 민간 조리인력을 대폭 늘리겠다고 했다 로컬푸드로 식자재를 조달해 주둔 지역의 농축산인과 상생하겠다고 했다 후보는 신병교육시설의 노후화로 건강관리는 물론 생활 적응에도 지장이 있다며 식당 샤워장 화장실을 현대식으로 확충 개선하고 비좁은 침상형 생활관을  침대형 생활관으로 바꾸겠다고 밝혔다 후보는 복무 취득할 있는 학점을 확대하는 방안도 밝혔다 온라인 학습으로 취득할 있는 학점을 연간   기준  이상으로 확대해 복무 학기는 이수할 있게 하겠다는 것이다 후보는 군복무 경험 학점 인정제를 모든 대학으로 확대하고 사회봉사 리더십 기초체력 등으로 한정돼 있는 커리큘럼을 주특기 정비 관련 분야로 늘릴 것을 약속했다 모든 병사에게 전자책 E-Book 포인트를 지급하겠다고 밝혔다 태블릿 PC 사용 허가를 검토하겠다고도 했다,정치,20220119,경향신문,"이재명 ""군인 상해보험 도입..군복무 중 취득가능 학점 확대"""
감사원이 지난해 대장동 개발 사업 특혜 의혹을 밝혀달라는 공익감사청구를 각하한 것으로  알려졌다 감사원은 지난달  이같은 내용을 담은 결정문을 청구인에게 회신했다 앞서 지난해  김은혜 국민의힘 의원 등은 성남시와 성남도시개발공사가 성남의뜰 컨소시엄을 우선협상대상자로 선정한 과정의 특혜 의혹 성남의뜰이 대장동 원주민들을 상대로 폭리를 취한 의혹 등을 감사해 달라고 감사원에 청구했다 감사원은 결정문에서 감사 청구된 사항들은 이미 검찰에서 수사하여 재판이 진행 중인 공소사실과 동일하다며 수사 재판이 진행 중인 사항은 감사청구 사항에서 제외하도록 하는 관련 규정에 따라 감사 청구를 종결 처리했다고 밝혔다 감사원 내부 규정에는 수사 재판 중인 사항은 감사 청구 대상에서 제외한다고 돼있다 수사 재판에 직접적인 영향을 주지 않으면서도 긴급한 필요가 있는 경우 감사할 있다는 단서 조항이 있지만 이번 사안은 이에 해당하지 않는다고 판단했다는 것이 감사원의 설명이다 감사원은 청구사항은 성남도시개발공사가 대장동 개발사업 특수목적법인인 성남의뜰과 체결한   사업 협약과 주주협약에 관한 것인데 이는 감사청구 시점을 기준으로  경과했다고 했다 공익감사청구 처리 규정에 따르면 감사청구는 해당 사무 처리가 있었던 또는 종료된 날부터  경과하면 제기할 없다고 돼있다,정치,20220119,경향신문,"감사원, 국힘 의원 등이 청구한 '대장동 특혜' 공익감사청구 각하"
윤석열 국민의힘 대선 후보가  비트코인 가상자산 투자수익  과세하지 않겠다고 공약했다 국내 주식과 동일한 기준을 적용하겠다는 것이다 정부는 내년  가상자산 투자수익이  넘으면 과세할 계획이다 후보의 공약은 코인 개미 보호에 방점이 찍혀 있어 가상자산 투자를 많이 하는 30 청년 세대를 공략하겠다는 의도로 해석된다 후보는 이날 서울 여의도 국민의힘 당사에서 가상자산 투자자를 위한  공약을 내놨다 첫째는 가상자산 투자수익  비과세다 선정비 후과세 원칙도 강조했다 투자를 있는 환경을 먼저 조성한 다음에 과세 원칙을 세우겠다는 것이다 두번째 공약으로 디지털 자산 기본법 제정 디지털산업진흥청 설립을 내걸었다 디지털 자산 기본법은 가상자산 투자자 보호에 초점이 맞춰진 법안이다 불완전판매 시세조종 작전 투자 등을 통한 부당수익은 사법 절차를 거쳐 환수하고 안전한 투자 플랫폼과 공시 제도를 구축하겠다는 취지다 디지털산업진흥청은 가상자산 투자자 업무를 전담해서 처리하는 디지털자산 산업의 컨트롤타워 역할을 맡는다 세번째로 국내 코인 발행을 허용키로 했다 이를 위해 안전장치가 있는 거래소발행 IEO Initial Exchange Offering 방식부터 도입할 계획이라고 밝혔다 당장 코인 발행을 허용할 경우 다단계 각종 사기로 인해 투자자들의 피해가 발생할 있기 때문이다 끝으로 NFT 대체불가능한토큰 거래 활성화를 통해 신개념 디지털자산시장을 육성하겠다고 밝혔다 후보는 가상자산 규제보다 장려에 초점을 맞췄다 그는 현재 대한민국 젊은이들은 디지털 자산이라는 새로운 기술과 가치에 세계 어느 나라보다 빠르게 적응해 투자하고 있다며 많은 나라가 일찍 블록체인 기술 발전과 투자자 보호장치 마련에 나서고 있지만 우리는 정부의 규제와 오락가락 행정으로 가상자산 업계가 어려움을 호소하고 투자자들도 피해를 입고 있다고 말했다 그는 저는  가상자산 투자자를 주식투자자 수준으로 안전하게 보호하고 거래의 불편함을 개선해나가겠다고 했다 후보는 기자들이 코인 투자자를 주식시장에 준해 보호조치를 한다는 현실성이 떨어지는 아니냐고 묻자 정부가 주식시장에 대한 제도 기반을 마련해놓지 않았다면 증권 투자시장이 이렇게까지 활성화될 있었겠느냐면서 정부의 역할은 시장에서 행위자를 규제하기보다 시장시스템을 투명하고 공정하게 만들어 누구나 정보비용을 들이지 않고 시장에 와서 경제활동 투자활동을 하게 하는 중요하다고 말했다 일부 거래소 독과점 문제에 대해선 은행이 연계 계좌를 개설해주는 거래소가 지금  은행 입장에서 거래소의 공신력을 평가하도록 하는 시스템을 정부가 지원해 있다고 말했다,정치,20220119,경향신문,윤석열 '코인 개미' 보호한다..주식처럼 5000만원 수익까지 비과세
더불어민주당이 윤석열 국민의힘 대선 후보의 배우자 김건희씨를 향한 공세에 연일 열을 올리고 있다 민주당은 김씨가 무속인과 연관됐다는 의혹을 두고 최순실의 아류라거나 러시아 황제가 괴승에 휘둘려서 러시아가 멸망한 것처럼 위험하다고 주장했다 김씨의 재산 형성을 두고   벌었는데 재산은  의혹을 추가로 제기했다 김씨 논란을 부각시켜 연휴 이재명 민주당 대선 후보와 후보 지지율 격차를 만들어내긴 위한 의도로 풀이된다 송영길 민주당 대표는 이날 광주KBS 라디오 인터뷰에서 김씨가 본인이 점을 정도로 신기가 있다고 표현했다며 주술과 마법 같은 의존하는 나라가 되어서는 러시아 황제 니콜라이  라스푸틴이라는 괴상스러운 요승에 휘둘려서 러시아 제국이 멸망했던 것처럼 나라가 크게 위험이 처할 것이라고 말했다 대표는 국민의힘 이재명 국민검증특위 소속인 장영하 변호사가 후보의 형수 욕설 파일을 공개한 것에 대해 건진법사 문제가 너무 커지니까 이것을 덮으려고 일부러 급하게 공개 아닌가 생각한다고 말했다 안민석 민주당 선대위 총괄특보단장도 이날 CBS라디오 인터뷰에서 김씨의  통화 녹음에 대해 무속인들을 가까이 둔다는 점에서 최순실의 아류를 보는 느낌이었다고 말했다 단장은 후보 욕설 녹취록이 추가로 공개된 것에 대해선 이미 나왔던 것이고  일이고 사과했다며 김씨의  녹취록이 나오자 물타기 하는 것이라고 말했다 민주당은 전날 변호사를 공직선거법 위반 혐의로 고발했고 국민의힘 선거대책본부는 변호사의 개인 기자회견이라고 밝혔다 민주당은  신천지 대구교회 집단감염사태 당시 검찰총장이었던 후보가 무속인의 조언에 따라 압수수색 영장 청구를 거부했다는 의혹을 두고 이날 후보를 직권남용 혐의 등으로 검찰에 고발했다 민주당은 이날 김씨의 재산 형성에 대한 의혹을 추가로 제기했다 선대위 현안대응 태스크포스 TF 이날 오전 서울 여의도 당사에서 기자회견을 열고 대학 강사료와 김씨가 대표인 코바나컨텐츠 월급  주요 수입원이었던 김씨가 어떻게  수십억의 주식과 부동산을 매수할 있었는지 의문이라고 밝혔다 TF는 이어 재산 증식과정에서 불법 증여가 있었는지 도이치모터스 주가조작으로 차익을 실현한 것은 아닌지 명확한 해명이 필요하다고 주장했다 김씨는  중반에  상당의 서울 서초동 아크로비스타 아파트를  후반에 도이치모터스 주식  매수했다 이에 대해 이양수 국민의힘 선대본부 수석대변인은 논평을 내고 김씨 관련해 재산 형성 과정을 밝히라고 요구한 것은 뻔뻔하다고 밝혔다 수석대변인은 후보의 검찰총장 임명 당시 정부와 민주당의 인사검증을 거쳤다는 점을 언급하며 이제 와서 밑도 끝오 없이 재산형성 과정 전체를 소명하라는 의혹 제기가 말이 되는가라고 비판했다 이재명 후보와 배우자의 재산관계와 예금거래를 먼저 공개하고 설명하는 것이 우선이라고 덧붙였다 민주당의 연이은 공세는 연휴 후보와 지지율 격차를 벌리려는 시도로 풀이된다 민주당은 연휴 지지율이 이번 대선의 기준점이 된다고 본다 특히 민주당은 무속인 논란이 후보를 지지하는 중도 무당층의 마음을 되돌리는 유용한 카드라고 판단하고 있다 민주당 선대위 의원은 IT 인공지능 AI 시대에 무속인 논란은 중도층에게 후보가 시대에 뒤쳐진 인물이라는 인상을 준다고 말했다 과도한 네거티브 공세로 선거가 혼탁해질 경우 역풍을 맞을 있다는 우려도 있다,정치,20220119,경향신문,"민주당, 김건희씨 '맹공'..""최순실 아류"" ""69억 재산 어떻게 형성했나"""
연금개혁 논의가 필요하다는 기류가 대선을 앞둔 더불어민주당 일각에서 형성되고 있다 이낙연 민주당 국가비전 국민통합위원장이  연금제도 개선을 언급하고 나서는 선거판에서는 불편한 화두로 취급받는 연금 문제가 여권 내에서도 하나둘 입길에 오르기 시작한 것이다 이재명 민주당 대선 후보와 윤석열 국민의힘 대선 후보는 공적연금 문제를 공론화했다가 자칫 표심에 악영향을 것을 우려해 유보적인 태도를 유지하고 있다 이낙연 민주당 국가비전 국민통합위원회 비전위 공동위원장은 이날 서울 여의도 이룸센터에서 열린 포용 비전회의에서 불평등을 어떻게 극복할 것인가 저출생과 인구감소를 어떻게 해결할 것인가 지혜를 모았으면 한다며 누진과세와 중하위계층 지원강화 연금제도 개선 등에 대한 획기적인 정책도 필요한 때가 됐다라고 말했다 위원장은 앞서 당내 경선 때에는 선거 기간에는 합리적인 결론을 내기 어렵다며 연금 논의를 피했는데 본선이 다가오면서 조심스럽게 운을 띄운 것이다 위원장은 이날 세대간 차별을 방지할 포용적 연금개혁에 대한 논의도 제안했다 연금개혁 문제의 골자는 적립금 고갈을 대비해 현재의 보험료율 소득대체율 구조를 어떻게 고칠 것인지다 앞서 문재인 정부는 지난  현행 유지 현행유지 기초연금 인상 보험료율 소득대체율 인상 보험료율 소득대체율 인상 가지 시나리오를 국회에 제출한 있다 이날 비전위 회의에서 노인 기초연금 지급 확대 등을 주제로 발제했던 고영인 의원은 기자와 통화에서 문재인 정부의  방안 가운데 어떤 형태로 가야 한다는 것을 오늘 구체적으로 논의한 것은 아니지만 지금처럼 현상 유지만 하는 것은 한계가 있다는 데에는 기본적인 문제의식을 공감했다라고 말했다 이미 안철수 국민의당 후보는 국민 공무원연금의 지급기준을 통일하는 동일연금제 공약을 냈고 심상정 정의당 후보도 솔직하게 국민연금의 재정 구조를 밝힐 것이라고 밝히는  후보들이 먼저 개혁 필요성에 공감하고 나선 있다 연금개혁 논의 필요성에 대한 정치권 안팎의 압박이 계속되면서 민주당에서도 이에 호응하는 분위기가 형성되기 시작한 것으로 보인다 앞서 강병원 민주당 최고위원은 지난  많은 젊은이들이 연금을 붓지만 노후를 책임질 있을까 불안해한다라며 후보가 공적연금 문제에 직접 부딪혀야 한다고 주장한 있다 하지만 차원의 선거전략으로 받아들여질지는 미지수다 민주당 수도권 의원은 소확행 같은 마이크로 타케팅도 중요하지만 연금 증세 등의 거대 전선이 없다는 문제제기가 꾸준히 제기되고 있다며 다만 받아들여지고 있다라고 말했다,정치,20220119,경향신문,이낙연 '연금제도 개선' 언급..민주당서도 공적연금 개혁 기류 형성되나
국민의힘이 윤석열 대선 후보의 배우자 김건희씨의 통화녹음과 관련한 MBC의 번째 방송에 대해 방송금지가처분을 신청하기로 했다 MBC 시사프로그램 스트레이트 오는  김씨의  통화녹음 방송을 앞두고 있다 국민의힘은 MBC에 전날 국민의힘이 공개한 이재명 더불어민주당 대선 후보의  통화녹음을 같은 분량으로 방송할 것을 요구했다 국민의힘 선거대책본부 공보단은  MBC의 불법 녹음 파일  방송에 대하여 오늘 방송금지가처분을 신청한다고 밝혔다 공보단은 MBC측에 방송 요지와 내용을 알려주고 반론권을 보장해달라는 요청을 수차례 하였음에도 방송 개요 주제 내용 어떤 것도 알려주지 않았다면서 방송금지가처분 재판 과정에서 반론권을 보장하지 않은 점을 집중하여 부각할 예정이라고 말했다 국민의힘은 지난   방송에 앞서 법원에 방송금지 가처분 신청을 했지만 재판부는 지난  해당 보도는 공익을 위한 것으로 봄이 상당하다며 일부 발언을 제외하고 보도해도 된다고 결정했다 국민의힘은 이날 해당 프로그램 기자에 대해선 공직선거법상 후보자비방 혐의로 형사고발하겠다고 했다 국민의힘은 법원에서 명백히 방송을 금지한 부분을 MBC 인터뷰를 통해 밝혔다며 법원에서 공영방송인 MBC가 재판 과정에서 밝힌 약속을 지킬 것으로 신뢰하고 간접 강제 규정을 넣지 않았는데 바로 위반해 버린 것이라고 주장했다 국민의힘은 전날 공개된 후보의  통화녹음도 김씨 통화녹음과 같은 분량으로 공정하게 다뤄져야 한다고 주장하고 있다 김씨 통화 녹음에 쏠린 시선을 후보 녹음파일 공개로 분산하면서 대선 후보 당사자의 문제라는 점을 적극 부각하는 모습이다 김기현 원내대표는 이날 오전 국회에서 열린 기자회견에서 후보 통화녹음 내용은 입에 올리는 자체가 불쾌하고 귀를 씻지 않고서는 일상에 돌아가기 힘들 정도라며 오죽하면 방송할 없는 이유가 욕설을 묵음처리하면 방송할 없기 때문이라는 우스갯소리까지 있을 정도라고 말했다 원내대표는 MBC가 예고했듯이 대선 후보자 검증이 김씨 녹음파일 보도의 진짜 목적이라면 후보와 김혜경 여사도 동일한 시간으로 방송해야 한다며 녹취파일 전달된 걸로 아는데 받았다면 기꺼이 전달하겠다 공정 보도를 다시 촉구한다고 했다 전날 후보의 녹음파일과 녹취록을 공개한 국민의힘 이재명 국민검증특위 소속 장영하 변호사는 이날 기자회견을 열고 후보 사과는 거짓말이라면서 가식적인 사과로 국민들에게 표를 얻어 그렇게도 대통령이 되고 싶은가 하늘이 분노하지 않겠나라고 주장했다 후보가 전날 재차 사과하며 어머니에게 가혹하게 문제를 만들던 형님도 이젠 세상에 계시지 않고라고 점을 문제 삼았다,정치,20220119,경향신문,"국민의힘, MBC '김건희 녹음파일' 2차 방송에도 방송금지가처분 신청"
이재명 더불어민주당 대선 후보와 윤석열 국민의힘 후보의 대선 TV토론이 연휴 기간인 오는  또는  열릴 것으로 보인다 민주당과 국민의힘이 날짜 날에 토론을 실시하기로 최종 합의하고 이를 지상파 방송3사에 제안했다  밖에 남지 않은 대선의 최대 분수령으로 꼽히는 TV토론을 놓고 여야 모두 사활을 준비에 나섰다 민주당 방송토론콘텐츠 단장인 박주민 의원과 국민의힘 TV토론 실무협상단인 성일종 의원은  국회에서 협의를 하고 연휴 기간 후보의 TV토론을 하기로 합의했다   오후    오후  방송3사에 요청하기로 했다 의원은 안을 요청드리고 기타 방송 시간과 사회자 선정 토론 방식 등은 다음 미팅 의원과 협의할 것이라고 말했다 앞서 양당은 연휴 이전에 토론을 진행하기로 틀에서 합의했지만 방송3사가 제안한  개최에 대해 민주당은 수용 입장을 국민의힘은  황금시간대를 역제안하며 기싸움을 벌였다 이날 합의는 민주당이 물러서며 국민의힘 요구를 수용하며 성사된 것으로 전해졌다 의원은 연휴 기간 내에 열어야 하는 이유에 대해 비교적 많은 세대가 함께 모이고 좋은 시간대가 돼야 많은 국민이 시청해서 국가 지도자를 선택하는 도움을 얻지 않겠느냐고 했다 의원은 방송사 사정상 안을 수용하기 어렵다면 방송사가 임의로 합의한  하는 것도 저희는 가능하다고 여지를 뒀다 양당의 토론 일정 합의로 TV토론에 대한 관심도 커지고 있다 역대 대선에서 TV토론의 영향력은 적지 않았다 방송토론이 처음 도입됐던  대선 당시엔 김대중 당시 후보가 민주화 투사라는 강한 이미지를 논리적인 언변으로 중화하며 효과를 봤다 노무현 이회창 후보의 맞대결이 치열했던  대선 때는 제3후보였던 권영길 민주노동당 후보의 살림살이 나아지셨습니까란 말이 유행어가 됐다  대선에선 박근혜 새누리당 후보와 함께 후보를 떨어뜨리기 위해 나왔다며 저격한 이정희 통합진보당 후보의 발언이 역효과를 내면서 후보의 당선을 도왔다는 평가가 있었다  대선에선 문재인 민주당 후보와 다른 후보들 간의  토론 구도가 펼쳐졌지만 수차례 토론을 거치며 안정적인 방어에 성공한 후보가 대선에서 승리했다 엠브레인이 의뢰로 지난   대상으로 실시한 여론조사 결과 표본오차 신뢰수준에 포인트 에서는 TV토론을 지켜본 지지하는 후보를 바꿀 의향이 있느냐는 질문에 응답자의 바꿀 있다고 답했다 접전 양상인 현재의 대선 판세에서 TV토론이 주요 변수가 가능성이 수밖에 없다는 분석이 나오는 대목이다 첫번째 대결인 만큼 양당은 상대방을 겨냥한 결전을 벼르고 있다 TV토론이 가족이 모이는 연휴 밥상의 화제가 있다 연휴 이어 열릴 가능성이 있는  후보 토론과 중앙선거관리위원회가 주관하는 21   차례 법정 토론으로 연결되는 관문 성격도 크다 후보의 총력전이 펼쳐질 것이라는 전망이 나온다 민주당은 후보의 능력 성과를 내세운 리더십으로 정책 토론에 집중할 방침이다 대장동 개발 사업 의혹과 형수 욕설 전력 아들 불법도박 후보를 둘러싼 각종 의혹에 대한 방어 전술도 짜고 있다 선대위 고위 관계자는 이날 기자와 통화에서 후보가 강점인 정책 중심의 토론을 계획이라며 공격이 들어오면 진정성있게 설명하는 식으로 방어할 것이라고 말했다 국민의힘은 후보의 진심과 비전을 강조하는 토론 전략을 구사할 계획이다 최근 배우자 김건희씨를 둘러싼 각종 의혹과 무속인 선대위 합류 논란 후보 말실수 등은 스스로 방어해야 대상이다 선대본부 언론전략기획단은 후보가 토론에서 발표할 정책 청사진을 그리는 집중하고 있다 선대본부 관계자는 어떤 철학과 비전을 갖고 있는지를 국민들께 설명할 것이라며 단순히 주택  건설하겠다고 말하는 아니라 건설하는지 말하겠다는 것이라고 전했다 정의당과 국민의당은 강력 반발했다 국민의당은 이날 서울서부지법에 대통령 후보 초청 토론 방송금지가처분 신청서를 제출했다 법원은 오는  오후  심문기일을 연다 안철수 국민의당 후보는 이날 기자간담회에서 혐오감  후보와  후보가 토론을 한다고 하니까 혐오 토론이 되는 것이라며 덩치로 사람만 밀어붙여서 양자구도 사람 사람을 선택해야 하는 것처럼 몰고 가는 것은 국민을 기만하는 행위라고 했다 정의당도 소속 의원들이 이날 방송3사 앞에서 다자토론을 요구하는  시위를 했다 정의당 측은 법률적 대응을 포함해 모든 수단을 강구해 막아낼 것이라고 밝혔다,정치,20220119,경향신문,이재명·윤석열 첫 TV 토론 '31일' 아니면 '30일'에 한다..대선 최대 분수령 될까
국민의힘 원내지도부가  정부 여당이 추진 중인 추가경정예산 추경 안을  규모로 편성해야 한다고 제안했다 소상공인 코로나 극복 지원금 규모를  확대하고 손실보상률을 늘려야 한다고 재차 요구했다 재원은 국채 발행이 아닌 올해 본예산 세출 구조조정으로 마련하자고 했다 김기현 원내대표 등은 한때 홍남기 부총리 기획재정부 장관이 면담 요청에 응하지 않는다며 강경 대응을 예고했으나 안도걸기재부 제2차관이 국회를 방문하면서 격앙을 가라앉혔다 원내대표는 이날 오후 국회에서 차관과 면담을 갖고 같은 요구안을 서면으로 전달했다 국민의힘은 현행  소상공인 코로나 극복지원금을  인상하겠다는 정부안이 현실성이 떨어진다고 보고  대폭 늘릴 것을 요구했다 현행 손실보상률은 높이고 보상하한액도 현행   확대해야 한다고 주장했다 국민의힘은 문화 체육 관광 업종에 대한 손실보상도 이번 추경에 반영하자고 제안했다 이들 업종이 사실상 영업제한 업종에 포함됐음에도 손실 보상 대상에서 그간 제외됐다는 것이다 국민의힘은 지난  발의한 소상공인 보호 지원에 관한 법률을 개정해 손실보상 소급적용을 추진하는 들어가는 예산도 추경안에 반영하자고 했다 초저금리 금융지원 대출 연장 소상공인 전기요금 경감 방역인력 지원단가 인상 의료인력 감염관리 활동 지원 요구도 이어갔다 추경호 원내수석부대표는 이날 기자와 통화에서 추경 규모는  남짓으로 예상한다고 했다 기재부가 구상하는 안으로 알려진  이상 확대된 규모이다 앞서 윤석열 국민의힘 대선 후보는  규모의 자영업자 소상공인 손실보상을 주장한 있다 국민의힘은 재원 마련책으로 세출 구조조정을 언급했다 수석은 차관과의 면담 기자들과 만나 민주당이 결국 추가 재원은 전부 빚을 통해서 추가적인 적자 국채 발행 통해 조달을 생각하고 있는 같다며 결국 그것은 전부 젊은 청년들의 빚으로 고스란히 있기 때문에 우리 당에서는 기존의 올해 본예산  최대한 구조조정해서 소상공인에 대한 민생지원대책에 나서라고 요구를 하는 것이라고 말했다 이날 국민의힘 원내지도부와 차관의 만남은 갑작스럽게 이뤄졌다 오전만 해도 원내대표는 국회에서 기자들과 만나 기재부와 여당에 짬짜미 정치추경하지 말고 야당과 힘들어 하는 국민의 의견을 들어달라며 홍남기 경제부총리에 면담요청도 했다 하지만 기재부는 아직도 야당 요구에 응하지 않았다면서 오늘  기다려보고 그때도 응답 없이 숨으면 우리 원내지도부가 세종시 기재부 청사에 찾아가겠다고 말했다,정치,20220119,경향신문,"국민의힘, 32조원 추경 편성 요구..국채발행은 반대"
