new_word,freq,category,date1,date2
전진이탈리아,3,국제,20220119,20220125
서아프리카경제공동체,3,국제,20220119,20220125
석유천연가스,3,국제,20220119,20220125
만연방지,3,국제,20220119,20220125
유전자증폭,7,국제,20220119,20220125
방어무기,3,국제,20220119,20220125
방역요원,3,국제,20220119,20220125
당사국총회,4,국제,20220119,20220125
공동행동계획,5,국제,20220119,20220125
시장조사업체,3,국제,20220119,20220125
대량살상무기,4,국제,20220119,20220125
시험채굴,3,국제,20220119,20220125
빅테크,22,국제,20220119,20220125
로이터통신,71,국제,20220119,20220125
개인정보,9,국제,20220119,20220125
수준으로,35,국제,20220119,20220125
코로나19,633,국제,20220119,20220125
오미크,455,국제,20220119,20220125
엔데믹,16,국제,20220119,20220125
만들기,14,국제,20220119,20220125
불평등,10,국제,20220119,20220125
크림반,44,국제,20220119,20220125
있음,30,국제,20220119,20220125
국제올림픽위원회,11,국제,20220119,20220125
나서기,4,국제,20220119,20220125
불가능,23,국제,20220119,20220125
대통령으,9,국제,20220119,20220125
세르게,49,국제,20220119,20220125
인터뷰에서,81,국제,20220119,20220125
등에서,30,국제,20220119,20220125
정말,16,국제,20220119,20220125
이슬,36,국제,20220119,20220125
극단주,11,국제,20220119,20220125
외무장관이,10,국제,20220119,20220125
쇤바흐,25,국제,20220119,20220125
맞서기,5,국제,20220119,20220125
대규모,63,국제,20220119,20220125
선호하는,13,국제,20220119,20220125
사실상,56,국제,20220119,20220125
쿠데,45,국제,20220119,20220125
펜실베,12,국제,20220119,20220125
간접선거,5,국제,20220119,20220125
시브코비,11,국제,20220119,20220125
정보기관,15,국제,20220119,20220125
갑작,9,국제,20220119,20220125
점에서,21,국제,20220119,20220125
정저우시,11,국제,20220119,20220125
현급,4,국제,20220119,20220125
다음날,6,국제,20220119,20220125
샤먼항공,4,국제,20220119,20220125
바로,31,국제,20220119,20220125
캐나다은행,3,국제,20220119,20220125
블룸버,43,국제,20220119,20220125
남아프리카공화국,13,국제,20220119,20220125
화상으로,18,국제,20220119,20220125
부스터샷,53,국제,20220119,20220125
말까지,9,국제,20220119,20220125
안전보장이사회,24,국제,20220119,20220125
한반,32,국제,20220119,20220125
내비,16,국제,20220119,20220125
미국으로,17,국제,20220119,20220125
가르,19,국제,20220119,20220125
속에서,29,국제,20220119,20220125
말하기,10,국제,20220119,20220125
중국산,9,국제,20220119,20220125
불안정,9,국제,20220119,20220125
공격으로,15,국제,20220119,20220125
세계유산위원회,17,국제,20220119,20220125
사도광산,40,국제,20220119,20220125
방역패스,8,국제,20220119,20220125
미접종자,10,국제,20220119,20220125
페트,9,국제,20220119,20220125
발트함대,6,국제,20220119,20220125
벌이기,4,국제,20220119,20220125
스톨텐베르,13,국제,20220119,20220125
안제,3,국제,20220119,20220125
자들,5,국제,20220119,20220125
무장조직,4,국제,20220119,20220125
노스캐롤라,4,국제,20220119,20220125
사실무근,4,국제,20220119,20220125
텍사스대,3,국제,20220119,20220125
인근으로,3,국제,20220119,20220125
매일,18,국제,20220119,20220125
기다,29,국제,20220119,20220125
라로지에르,4,국제,20220119,20220125
백신패스,24,국제,20220119,20220125
돌파감염,3,국제,20220119,20220125
드샌티스,13,국제,20220119,20220125
퀀트바이오레스,3,국제,20220119,20220125
론차레비,3,국제,20220119,20220125
입국비자,3,국제,20220119,20220125
절반가량,3,국제,20220119,20220125
베이글리,3,국제,20220119,20220125
KN-24,4,국제,20220119,20220125
두절,5,국제,20220119,20220125
여름올림픽,5,국제,20220119,20220125
투페누,3,국제,20220119,20220125
찾기,8,국제,20220119,20220125
수밖,21,국제,20220119,20220125
방역규제,3,국제,20220119,20220125
닛케,8,국제,20220119,20220125
본섬,17,국제,20220119,20220125
대폭발,3,국제,20220119,20220125
쓰나미,30,국제,20220119,20220125
JOGMEC,6,국제,20220119,20220125
이대,3,국제,20220119,20220125
명예준장,4,국제,20220119,20220125
베트남전쟁,5,국제,20220119,20220125
전투부대,6,국제,20220119,20220125
