new_word,freq,category,week,date1,date2
소셜네트워크서비스,4,문화,1주차,20220102,20220108
제비심장,2,문화,1주차,20220102,20220108
관련기사,3,문화,1주차,20220102,20220108
미술잡지,3,문화,1주차,20220102,20220108
처방매출,1,문화,1주차,20220102,20220108
연작소설집,4,문화,1주차,20220102,20220108
온라인동영상서비스,3,문화,1주차,20220102,20220108
창작과비평,3,문화,1주차,20220102,20220108
복원지구,2,문화,1주차,20220102,20220108
사회관계망서비스,9,문화,1주차,20220102,20220108
임상개발,2,문화,1주차,20220102,20220108
가로세로연구소,2,문화,1주차,20220102,20220108
온라인플랫폼,2,문화,1주차,20220102,20220108
다섯수레,3,문화,1주차,20220102,20220108
종교학과,5,문화,1주차,20220102,20220108
반독재,3,문화,1주차,20220102,20220108
정보기관,5,문화,1주차,20220102,20220108
불균형,4,문화,1주차,20220102,20220108
있음,29,문화,1주차,20220102,20220108
강정숙씨,5,문화,1주차,20220102,20220108
수밖,49,문화,1주차,20220102,20220108
게다,20,문화,1주차,20220102,20220108
대중문화,7,문화,1주차,20220102,20220108
만만,8,문화,1주차,20220102,20220108
영화감독,10,문화,1주차,20220102,20220108
코로나19,157,문화,1주차,20220102,20220108
망설,6,문화,1주차,20220102,20220108
아름,69,문화,1주차,20220102,20220108
시적,27,문화,1주차,20220102,20220108
무상함,3,문화,1주차,20220102,20220108
아름다움,17,문화,1주차,20220102,20220108
비정상,4,문화,1주차,20220102,20220108
물류팀,1,문화,1주차,20220102,20220108
것이기,9,문화,1주차,20220102,20220108
없음,6,문화,1주차,20220102,20220108
선천적,4,문화,1주차,20220102,20220108
것임,7,문화,1주차,20220102,20220108
브로,19,문화,1주차,20220102,20220108
낙지발,1,문화,1주차,20220102,20220108
꾸밈,4,문화,1주차,20220102,20220108
전통장신구,1,문화,1주차,20220102,20220108
통합전산망,7,문화,1주차,20220102,20220108
한순간,9,문화,1주차,20220102,20220108
같기,10,문화,1주차,20220102,20220108
그다음,7,문화,1주차,20220102,20220108
자유로움,3,문화,1주차,20220102,20220108
애련정,1,문화,1주차,20220102,20220108
미적,4,문화,1주차,20220102,20220108
승재정,1,문화,1주차,20220102,20220108
종말이푸드,2,문화,1주차,20220102,20220108
쓰림,2,문화,1주차,20220102,20220108
소화기내,2,문화,1주차,20220102,20220108
저절,6,문화,1주차,20220102,20220108
답답함,3,문화,1주차,20220102,20220108
별다,11,문화,1주차,20220102,20220108
성교육,3,문화,1주차,20220102,20220108
한교총,4,문화,1주차,20220102,20220108
주님,27,문화,1주차,20220102,20220108
위버스,4,문화,1주차,20220102,20220108
한일문화교류회,3,문화,1주차,20220102,20220108
한달,9,문화,1주차,20220102,20220108
임인년,19,문화,1주차,20220102,20220108
국립정동극장,3,문화,1주차,20220102,20220108
심선민,2,문화,1주차,20220102,20220108
