new_word,freq,category,week,date1,date2
코로나19,12,보도자료,1주차,20220103,20220107
연구결,2,보도자료,1주차,20220103,20220107
직접,9,보도자료,1주차,20220103,20220107
제대,5,보도자료,1주차,20220103,20220107
와우축,1,보도자료,1주차,20220103,20220107
재생력,1,보도자료,1주차,20220103,20220107
미접종자,2,보도자료,1주차,20220103,20220107
메타버스,1,보도자료,1주차,20220103,20220107
캠프페,1,보도자료,1주차,20220103,20220107
의정부시,1,보도자료,1주차,20220103,20220107
연습문제,3,보도자료,1주차,20220103,20220107
재정비,2,보도자료,1주차,20220103,20220107
이같,5,보도자료,1주차,20220103,20220107
극적,8,보도자료,1주차,20220103,20220107
비공개,4,보도자료,1주차,20220103,20220107
휠내비길,1,보도자료,1주차,20220103,20220107
석열씨,1,보도자료,1주차,20220103,20220107
NFT,1,보도자료,1주차,20220103,20220107
국민의힘,29,보도자료,2주차,20220110,20220114
메시지팀,1,보도자료,2주차,20220110,20220114
앞으,10,보도자료,2주차,20220110,20220114
구조조정,3,보도자료,2주차,20220110,20220114
불가능,4,보도자료,2주차,20220110,20220114
대기업,1,보도자료,2주차,20220110,20220114
내비,3,보도자료,2주차,20220110,20220114
K택소노미,1,보도자료,2주차,20220110,20220114
갑작,2,보도자료,2주차,20220110,20220114
푸른뫼의료재단,1,보도자료,2주차,20220110,20220114
가세연,1,보도자료,2주차,20220110,20220114
희귀가스,1,보도자료,2주차,20220110,20220114
자추위,1,보도자료,2주차,20220110,20220114
레벨4,2,보도자료,2주차,20220110,20220114
MRAM,1,보도자료,2주차,20220110,20220114
있음,2,보도자료,2주차,20220110,20220114
엔데믹,1,보도자료,2주차,20220110,20220114
법정통화,2,보도자료,2주차,20220110,20220114
중점조,1,보도자료,2주차,20220110,20220114
주프레,1,보도자료,2주차,20220110,20220114
주님,4,보도자료,2주차,20220110,20220114
자들,16,보도자료,2주차,20220110,20220114
한교봉,1,보도자료,2주차,20220110,20220114
자원봉사,1,보도자료,2주차,20220110,20220114
진실,1,보도자료,2주차,20220110,20220114
덕임,1,보도자료,2주차,20220110,20220114
DRX전,2,보도자료,2주차,20220110,20220114
휴대전화,1,보도자료,2주차,20220110,20220114
포션,1,보도자료,2주차,20220110,20220114
푸시력,1,보도자료,2주차,20220110,20220114
미해분,1,보도자료,2주차,20220110,20220114
오스테드,1,보도자료,3주차,20220117,20220121
국내리그,2,보도자료,3주차,20220117,20220121
선보,8,보도자료,3주차,20220117,20220121
DRX,5,보도자료,3주차,20220117,20220121
이대,4,보도자료,3주차,20220117,20220121
아닌,9,보도자료,3주차,20220117,20220121
불평등,3,보도자료,3주차,20220117,20220121
서경대학교,1,보도자료,3주차,20220117,20220121
브랜드스탁,1,보도자료,3주차,20220117,20220121
후보자,2,보도자료,3주차,20220117,20220121
고정관념,1,보도자료,3주차,20220117,20220121
가르,3,보도자료,3주차,20220117,20220121
형사미성년자,1,보도자료,3주차,20220117,20220121
싱킹,1,보도자료,3주차,20220117,20220121
운동화,1,보도자료,3주차,20220117,20220121
한반,4,보도자료,3주차,20220117,20220121
재택치료,2,보도자료,3주차,20220117,20220121
K콘텐츠,2,보도자료,3주차,20220117,20220121
해수온,1,보도자료,3주차,20220117,20220121
LC542019,1,보도자료,3주차,20220117,20220121
신자유주의,1,보도자료,3주차,20220117,20220121
연합기관,1,보도자료,3주차,20220117,20220121
위임규정,1,보도자료,3주차,20220117,20220121
코진연,1,보도자료,4주차,20220123,20220128
디지털행정,1,보도자료,4주차,20220123,20220128
플랫폼,3,보도자료,4주차,20220123,20220128
수급난,1,보도자료,4주차,20220123,20220128
머스트잇,1,보도자료,4주차,20220123,20220128
물윗길,1,보도자료,4주차,20220123,20220128
얼음트레킹,1,보도자료,4주차,20220123,20220128
경주페이,1,보도자료,4주차,20220123,20220128
신혼부부,1,보도자료,4주차,20220123,20220128
신속항원검사,2,보도자료,4주차,20220123,20220128
휴일지킴,1,보도자료,4주차,20220123,20220128
서학개미,1,보도자료,4주차,20220123,20220128
관광약자,1,보도자료,5주차,20220203,20220204
탄소발자국,1,보도자료,5주차,20220203,20220204
문화공정,2,보도자료,6주차,20220207,20220211
문화약탈,1,보도자료,6주차,20220207,20220211
취재진과,3,보도자료,6주차,20220207,20220211
모해위증,2,보도자료,6주차,20220207,20220211
감찰3과장,1,보도자료,6주차,20220207,20220211
개인정,1,보도자료,6주차,20220207,20220211
개인정보,1,보도자료,6주차,20220207,20220211
스페이스아이,1,보도자료,7주차,20220214,20220217
문화선교,1,보도자료,7주차,20220214,20220217
남부분원,1,보도자료,8주차,20220221,20220224
BEF,1,보도자료,8주차,20220221,20220224
페이즈1,1,보도자료,8주차,20220221,20220224
치킨연금,1,보도자료,8주차,20220221,20220224
