new_word,freq,category,week,date1,date2
심심,6,사설칼럼,1주차,20220102,20220108
어린,27,사설칼럼,1주차,20220102,20220108
코로나19,90,사설칼럼,1주차,20220102,20220108
국민의힘,103,사설칼럼,1주차,20220102,20220108
그분들,4,사설칼럼,1주차,20220102,20220108
심상,20,사설칼럼,1주차,20220102,20220108
불확실,15,사설칼럼,1주차,20220102,20220108
불확실성,12,사설칼럼,1주차,20220102,20220108
수밖,80,사설칼럼,1주차,20220102,20220108
감시장비,9,사설칼럼,1주차,20220102,20220108
감시센서,6,사설칼럼,1주차,20220102,20220108
전원회의,6,사설칼럼,1주차,20220102,20220108
국제정치,5,사설칼럼,1주차,20220102,20220108
경제협력개발기구,12,사설칼럼,1주차,20220102,20220108
높기,4,사설칼럼,1주차,20220102,20220108
있었던,27,사설칼럼,1주차,20220102,20220108
민주체제,1,사설칼럼,1주차,20220102,20220108
실손보험금,3,사설칼럼,1주차,20220102,20220108
리질리언스,1,사설칼럼,1주차,20220102,20220108
유연성,6,사설칼럼,1주차,20220102,20220108
총체적,10,사설칼럼,1주차,20220102,20220108
만만,9,사설칼럼,1주차,20220102,20220108
불평등,20,사설칼럼,1주차,20220102,20220108
그러한,9,사설칼럼,1주차,20220102,20220108
탈원전,12,사설칼럼,1주차,20220102,20220108
같기,3,사설칼럼,1주차,20220102,20220108
지배계급,3,사설칼럼,1주차,20220102,20220108
메타버스,8,사설칼럼,1주차,20220102,20220108
플레,19,사설칼럼,1주차,20220102,20220108
반대신문,1,사설칼럼,1주차,20220102,20220108
반대신문권,1,사설칼럼,1주차,20220102,20220108
불가능,44,사설칼럼,1주차,20220102,20220108
공론장,4,사설칼럼,1주차,20220102,20220108
올바름,3,사설칼럼,1주차,20220102,20220108
불안정,7,사설칼럼,1주차,20220102,20220108
구조조정,4,사설칼럼,1주차,20220102,20220108
있음,26,사설칼럼,1주차,20220102,20220108
거리두기,5,사설칼럼,1주차,20220102,20220108
게다,38,사설칼럼,1주차,20220102,20220108
간간,3,사설칼럼,1주차,20220102,20220108
살림살,3,사설칼럼,1주차,20220102,20220108
하더,28,사설칼럼,1주차,20220102,20220108
MZ세대,9,사설칼럼,1주차,20220102,20220108
김건희씨,6,사설칼럼,1주차,20220102,20220108
어이,8,사설칼럼,1주차,20220102,20220108
중산층,3,사설칼럼,1주차,20220102,20220108
신기,12,사설칼럼,1주차,20220102,20220108
신기술,8,사설칼럼,1주차,20220102,20220108
ESG,6,사설칼럼,1주차,20220102,20220108
이대,17,사설칼럼,1주차,20220102,20220108
어떠한,14,사설칼럼,1주차,20220102,20220108
일대일,3,사설칼럼,1주차,20220102,20220108
감수성,4,사설칼럼,1주차,20220102,20220108
것이므,4,사설칼럼,1주차,20220102,20220108
사로,47,사설칼럼,1주차,20220102,20220108
고위공직자범죄수사처,16,사설칼럼,1주차,20220102,20220108
화천대유,5,사설칼럼,1주차,20220102,20220108
천화동인,3,사설칼럼,1주차,20220102,20220108
기획본부장,4,사설칼럼,1주차,20220102,20220108
돌파감염,3,사설칼럼,1주차,20220102,20220108
부스터샷,2,사설칼럼,1주차,20220102,20220108
위중증,4,사설칼럼,1주차,20220102,20220108
젊은,38,사설칼럼,1주차,20220102,20220108
기후재앙,2,사설칼럼,1주차,20220102,20220108
한순간,6,사설칼럼,1주차,20220102,20220108
재난지원금,13,사설칼럼,1주차,20220102,20220108
양적,4,사설칼럼,1주차,20220102,20220108
김진,11,사설칼럼,1주차,20220102,20220108
정보기관,4,사설칼럼,1주차,20220102,20220108
보안사,1,사설칼럼,1주차,20220102,20220108
이병,5,사설칼럼,1주차,20220102,20220108
인적,18,사설칼럼,1주차,20220102,20220108
