new_word,freq,category,week,date1,date2
미국프로골프,2,스포츠,1주차,20220102,20220108
접종증명,10,스포츠,1주차,20220102,20220108
의학전문대학원,3,스포츠,1주차,20220102,20220108
독서문화,2,스포츠,1주차,20220102,20220108
소원재단,1,스포츠,1주차,20220102,20220108
데이터기반행정,1,스포츠,1주차,20220102,20220108
자원공유,1,스포츠,1주차,20220102,20220108
탄소감축,1,스포츠,1주차,20220102,20220108
근로자지위확인,1,스포츠,1주차,20220102,20220108
형수욕설,1,스포츠,1주차,20220102,20220108
민생버스,3,스포츠,1주차,20220102,20220108
보호대상자,4,스포츠,1주차,20220102,20220108
수출신용보증,1,스포츠,1주차,20220102,20220108
안전보장이사회,3,스포츠,1주차,20220102,20220108
극적,56,스포츠,1주차,20220102,20220108
코로나19,100,스포츠,1주차,20220102,20220108
역시,69,스포츠,1주차,20220102,20220108
민주체제,1,스포츠,1주차,20220102,20220108
수밖,38,스포츠,1주차,20220102,20220108
다음날,15,스포츠,1주차,20220102,20220108
타당,14,스포츠,1주차,20220102,20220108
투명페트병,1,스포츠,1주차,20220102,20220108
재활용,4,스포츠,1주차,20220102,20220108
빅테크,2,스포츠,1주차,20220102,20220108
NFT,6,스포츠,1주차,20220102,20220108
가상자산,2,스포츠,1주차,20220102,20220108
반대신문,1,스포츠,1주차,20220102,20220108
반대신문권,1,스포츠,1주차,20220102,20220108
심심,5,스포츠,1주차,20220102,20220108
대도시,4,스포츠,1주차,20220102,20220108
아름,14,스포츠,1주차,20220102,20220108
공적,25,스포츠,1주차,20220102,20220108
신기술,9,스포츠,1주차,20220102,20220108
신제품,3,스포츠,1주차,20220102,20220108
재난지원금,10,스포츠,1주차,20220102,20220108
K방역,3,스포츠,1주차,20220102,20220108
불가능,44,스포츠,1주차,20220102,20220108
양적,3,스포츠,1주차,20220102,20220108
성장률,2,스포츠,1주차,20220102,20220108
있음,13,스포츠,1주차,20220102,20220108
MZ,12,스포츠,1주차,20220102,20220108
MZ세대,6,스포츠,1주차,20220102,20220108
친중,3,스포츠,1주차,20220102,20220108
