new_word,freq,category,week,date1,date2
맘마미안,2,연예,1주차,20220102,20220108
코로나19,32,연예,1주차,20220102,20220108
디즈니플러스,4,연예,1주차,20220102,20220108
덕임,8,연예,1주차,20220102,20220108
어린,12,연예,1주차,20220102,20220108
아닌,12,연예,1주차,20220102,20220108
이준호-이세영,1,연예,1주차,20220102,20220108
MZ세대,4,연예,1주차,20220102,20220108
사로,31,연예,1주차,20220102,20220108
메타버스,4,연예,1주차,20220102,20220108
해밍턴즈,1,연예,1주차,20220102,20220108
불가살,1,연예,1주차,20220102,20220108
민상운,1,연예,1주차,20220102,20220108
민시호,1,연예,1주차,20220102,20220108
MSG워너비,2,연예,1주차,20220102,20220108
신혼부부,3,연예,1주차,20220102,20220108
홈쇼핑,2,연예,1주차,20220102,20220108
헤어스타일,4,연예,1주차,20220102,20220108
위버스,2,연예,1주차,20220102,20220108
플릭스패트롤,4,연예,1주차,20220102,20220108
아시아권,4,연예,1주차,20220102,20220108
YGX,2,연예,1주차,20220102,20220108
라치카,2,연예,1주차,20220102,20220108
웨이비,2,연예,1주차,20220102,20220108
시원,6,연예,1주차,20220102,20220108
정영숙과,1,연예,1주차,20220102,20220108
K-팝,4,연예,1주차,20220102,20220108
SKY채널,3,연예,1주차,20220102,20220108
프로야구,4,연예,1주차,20220102,20220108
영화계,7,연예,1주차,20220102,20220108
SSG랜더스,3,연예,1주차,20220102,20220108
조세5국,5,연예,1주차,20220102,20220108
하이,11,연예,1주차,20220102,20220108
통쾌함,3,연예,1주차,20220102,20220108
년간,4,연예,1주차,20220102,20220108
엄격,3,연예,1주차,20220102,20220108
고기떡볶이,2,연예,1주차,20220102,20220108
NFT,2,연예,1주차,20220102,20220108
길복순,2,연예,1주차,20220102,20220108
K콘텐츠,2,연예,1주차,20220102,20220108
LP곡,4,연예,1주차,20220102,20220108
비공개,4,연예,1주차,20220102,20220108
HFPA,4,연예,1주차,20220102,20220108
시리즈-드라마,3,연예,1주차,20220102,20220108
첫사랑,2,연예,1주차,20220102,20220108
한지상,1,연예,1주차,20220102,20220108
박보,2,연예,1주차,20220102,20220108
후난위성TV,2,연예,1주차,20220102,20220108
영화감독,2,연예,1주차,20220102,20220108
클라이밍짐,2,연예,1주차,20220102,20220108
금희,3,연예,1주차,20220102,20220108
K-콘텐츠,1,연예,1주차,20220102,20220108
BJ들,2,연예,1주차,20220102,20220108
FC구척장신,4,연예,1주차,20220102,20220108
점수판,4,연예,1주차,20220102,20220108
경영부문,2,연예,1주차,20220102,20220108
관빈,1,연예,1주차,20220102,20220108
아센디오,1,연예,1주차,20220102,20220108
오징어게임,19,연예,1주차,20220102,20220108
유희열의스케치북,28,연예,1주차,20220102,20220108
동물농장,10,연예,1주차,20220102,20220108
밴드부,5,연예,2주차,20220109,20220115
영사운드,3,연예,2주차,20220109,20220115
레이블즈,3,연예,2주차,20220109,20220115
황치숙,1,연예,2주차,20220109,20220115
단둘,3,연예,2주차,20220109,20220115
뮤직비디오,12,연예,2주차,20220109,20220115
러브스토리,3,연예,2주차,20220109,20220115
돌싱남녀,2,연예,2주차,20220109,20220115
TV부문,4,연예,2주차,20220109,20220115
대중음악,3,연예,2주차,20220109,20220115
아리,10,연예,2주차,20220109,20220115
리스너들,4,연예,2주차,20220109,20220115
안방극장,4,연예,2주차,20220109,20220115
프로듀서팀,3,연예,2주차,20220109,20220115
동계부,3,연예,2주차,20220109,20220115
연예부,3,연예,2주차,20220109,20220115
갑작,8,연예,2주차,20220109,20220115
구찌가,2,연예,2주차,20220109,20220115
파헤,4,연예,2주차,20220109,20220115
무혐의,2,연예,2주차,20220109,20220115
불송,1,연예,2주차,20220109,20220115
명예훼손,2,연예,2주차,20220109,20220115
조금이,3,연예,2주차,20220109,20220115
비아,2,연예,2주차,20220109,20220115
음악계,3,연예,2주차,20220109,20220115
상위권,5,연예,2주차,20220109,20220115
이창수X김은영,1,연예,2주차,20220109,20220115
외적,3,연예,2주차,20220109,20220115
미국배우조합,3,연예,2주차,20220109,20220115
거침,4,연예,2주차,20220109,20220115
엄창록,2,연예,2주차,20220109,20220115
백강산업,2,연예,2주차,20220109,20220115
배송사고,5,연예,2주차,20220109,20220115
송서현,1,연예,2주차,20220109,20220115
물속,3,연예,2주차,20220109,20220115
짠돌,4,연예,2주차,20220109,20220115
위태,3,연예,2주차,20220109,20220115
타이달,1,연예,2주차,20220109,20220115
낱낱,3,연예,2주차,20220109,20220115
이채,3,연예,2주차,20220109,20220115
잭콕이,2,연예,2주차,20220109,20220115
미안함,3,연예,2주차,20220109,20220115
국연수,1,연예,2주차,20220109,20220115
올어게인,1,연예,2주차,20220109,20220115
에세,2,연예,2주차,20220109,20220115
고승탁,1,연예,2주차,20220109,20220115
교란종,1,연예,2주차,20220109,20220115
아내분,1,연예,2주차,20220109,20220115
불가능,3,연예,2주차,20220109,20220115
에픽하,2,연예,2주차,20220109,20220115
스카,9,연예,2주차,20220109,20220115
정필돈,1,연예,2주차,20220109,20220115
정승네트워크,1,연예,2주차,20220109,20220115
AI앵커,1,연예,2주차,20220109,20220115
조경필,1,연예,2주차,20220109,20220115
인사치레,3,연예,2주차,20220109,20220115
쿠팡플레이,2,연예,2주차,20220109,20220115
크리틱스초이스어워즈,1,연예,2주차,20220109,20220115
존현각,1,연예,2주차,20220109,20220115
강용휘,1,연예,2주차,20220109,20220115
기생충,10,연예,2주차,20220109,20220115
조사회사,5,연예,3주차,20220116,20220122
대중문화,5,연예,3주차,20220116,20220122
상관,5,연예,3주차,20220116,20220122
궁금,16,연예,3주차,20220116,20220122
진정,10,연예,3주차,20220116,20220122
플레,17,연예,3주차,20220116,20220122
너드커넥션,1,연예,3주차,20220116,20220122
아름,9,연예,3주차,20220116,20220122
솔로지옥,25,연예,3주차,20220116,20220122
하동연,1,연예,3주차,20220116,20220122
허전함,3,연예,3주차,20220116,20220122
트레,8,연예,3주차,20220116,20220122
리얼함,1,연예,3주차,20220116,20220122
조충범,1,연예,3주차,20220116,20220122
OZ식품,1,연예,3주차,20220116,20220122
엔하이픈,1,연예,3주차,20220116,20220122
TV방송,1,연예,3주차,20220116,20220122
혈중알코올농도,1,연예,3주차,20220116,20220122
김운범,4,연예,3주차,20220116,20220122
어떤날,1,연예,3주차,20220116,20220122
예천양조,2,연예,3주차,20220116,20220122
문세훈,1,연예,3주차,20220116,20220122
진실함,3,연예,3주차,20220116,20220122
곤두박질,4,연예,3주차,20220116,20220122
야생동물,3,연예,3주차,20220116,20220122
그라시아스합창단,1,연예,3주차,20220116,20220122
구독서비스,1,연예,3주차,20220116,20220122
디올백,1,연예,3주차,20220116,20220122
우경이,1,연예,3주차,20220116,20220122
짝퉁,13,연예,3주차,20220116,20220122
가품,10,연예,3주차,20220116,20220122
내과박원장,14,연예,3주차,20220116,20220122
효자,21,연예,3주차,20220116,20220122
경찰수업,2,연예,4주차,20220123,20220129
온라인동영상서비스,3,연예,4주차,20220123,20220129
재조명,5,연예,4주차,20220123,20220129
연기대상,4,연예,4주차,20220123,20220129
우리나라,3,연예,4주차,20220123,20220129
정씨,3,연예,4주차,20220123,20220129
자가진단키트,3,연예,4주차,20220123,20220129
금주령,1,연예,4주차,20220123,20220129
MBC신사옥,20,연예,4주차,20220123,20220129
극적,8,연예,4주차,20220123,20220129
특별활동,2,연예,4주차,20220123,20220129
내비,6,연예,4주차,20220123,20220129
비공,14,연예,4주차,20220123,20220129
VIVIZ,2,연예,4주차,20220123,20220129
드리핀,2,연예,4주차,20220123,20220129
저절,3,연예,4주차,20220123,20220129
도전기,3,연예,4주차,20220123,20220129
다음날,5,연예,4주차,20220123,20220129
왕준희,2,연예,4주차,20220123,20220129
민지후,2,연예,4주차,20220123,20220129
신화자,1,연예,4주차,20220123,20220129
왕준혁,2,연예,4주차,20220123,20220129
주경일,2,연예,4주차,20220123,20220129
가요계,9,연예,4주차,20220123,20220129
재탄생,3,연예,4주차,20220123,20220129
홍잠언,3,연예,4주차,20220123,20220129
휴대전화,3,연예,4주차,20220123,20220129
덱스터픽쳐스,1,연예,4주차,20220123,20220129
김용,9,연예,4주차,20220123,20220129
군검사,1,연예,4주차,20220123,20220129
위아이,2,연예,4주차,20220123,20220129
SOLE,1,연예,4주차,20220123,20220129
방역수칙,2,연예,4주차,20220123,20220129
싹쓰리,3,연예,4주차,20220123,20220129
채란이,1,연예,4주차,20220123,20220129
신수지,1,연예,4주차,20220123,20220129
주접단,2,연예,4주차,20220123,20220129
웅이,7,연예,4주차,20220123,20220129
레코드협회,1,연예,4주차,20220123,20220129
감별단,2,연예,4주차,20220123,20220129
아트싱어,3,연예,4주차,20220123,20220129
백성철,1,연예,4주차,20220123,20220129
서한숙,1,연예,4주차,20220123,20220129
MBTI,1,연예,4주차,20220123,20220129
ESTJ,1,연예,4주차,20220123,20220129
방과후설렘,21,연예,4주차,20220123,20220129
킹메이커,12,연예,4주차,20220123,20220129
선보,38,연예,5주차,20220130,20220205
허니제,3,연예,5주차,20220130,20220205
스태프분들,1,연예,5주차,20220130,20220205
김유라,2,연예,5주차,20220130,20220205
가르,4,연예,5주차,20220130,20220205
나둥이,1,연예,5주차,20220130,20220205
자본주의학교,3,연예,5주차,20220130,20220205
블루타이거,1,연예,5주차,20220130,20220205
등정도,3,연예,5주차,20220130,20220205
웨이스타-로이코,1,연예,5주차,20220130,20220205
채널S,2,연예,5주차,20220130,20220205
가족오락관,4,연예,5주차,20220130,20220205
윤해빈,2,연예,5주차,20220130,20220205
유료가입자,2,연예,5주차,20220130,20220205
레트로,3,연예,5주차,20220130,20220205
다독,3,연예,5주차,20220130,20220205
왕진의사,1,연예,5주차,20220130,20220205
거리두기,1,연예,5주차,20220130,20220205
IMAX관,2,연예,5주차,20220130,20220205
김모미,1,연예,5주차,20220130,20220205
초딩조카,10,연예,5주차,20220130,20220205
링즈,1,연예,5주차,20220130,20220205
이수근팀,1,연예,5주차,20220130,20220205
정형돈,1,연예,5주차,20220130,20220205
엉클,13,연예,5주차,20220130,20220205
소년심판,1,연예,6주차,20220206,20220212
결혼작사,1,연예,6주차,20220206,20220212
이혼작곡,1,연예,6주차,20220206,20220212
케이블채널,4,연예,6주차,20220206,20220212
인간개발,1,연예,6주차,20220206,20220212
신동,8,연예,6주차,20220206,20220212
잼미,2,연예,6주차,20220206,20220212
쿠팡플레,5,연예,6주차,20220206,20220212
있음,3,연예,6주차,20220206,20220212
소년범죄,1,연예,6주차,20220206,20220212
판사현,2,연예,6주차,20220206,20220212
신유신,2,연예,6주차,20220206,20220212
말하기,3,연예,6주차,20220206,20220212
PCR,12,연예,6주차,20220206,20220212
윤남기,1,연예,6주차,20220206,20220212
축하광고,2,연예,6주차,20220206,20220212
신속항원검사,4,연예,6주차,20220206,20220212
한자리,3,연예,6주차,20220206,20220212
IST엔터,2,연예,6주차,20220206,20220212
IST엔터테인먼트,2,연예,6주차,20220206,20220212
라틴풍,4,연예,6주차,20220206,20220212
K-OST,1,연예,6주차,20220206,20220212
K-드라마,1,연예,6주차,20220206,20220212
부가사업,1,연예,6주차,20220206,20220212
황우림,1,연예,6주차,20220206,20220212
청산이,1,연예,6주차,20220206,20220212
양발잡,1,연예,6주차,20220206,20220212
지웅이,4,연예,6주차,20220206,20220212
스포티파,3,연예,6주차,20220206,20220212
경주엑스포대공원,1,연예,6주차,20220206,20220212
실내경기장,4,연예,6주차,20220206,20220212
신혼여행,2,연예,6주차,20220206,20220212
카르낙호,2,연예,6주차,20220206,20220212
스물둘,3,연예,6주차,20220206,20220212
백이진,2,연예,6주차,20220206,20220212
펜싱부,2,연예,6주차,20220206,20220212
비비즈,1,연예,6주차,20220206,20220212
김종,7,연예,6주차,20220206,20220212
쇼츠,1,연예,6주차,20220206,20220212
VAST엔터테인먼트,6,연예,6주차,20220206,20220212
정혁이,4,연예,6주차,20220206,20220212
용산cgv,10,연예,6주차,20220206,20220212
뮤직콘테스트,9,연예,6주차,20220206,20220212
