new_word,category,date1,date2
기획운영과장,사회,20220119,20220125
기초생계,사회,20220119,20220125
방영금지,사회,20220119,20220125
배포금지,사회,20220119,20220125
유전자증폭,사회,20220119,20220125
추정된다고,사회,20220119,20220125
현지시간,사회,20220119,20220125
창원지방법원,사회,20220119,20220125
교육파견,사회,20220119,20220125
지역통계과장,사회,20220119,20220125
경제조사과장,사회,20220119,20220125
조사지원과장,사회,20220119,20220125
장사방법,사회,20220119,20220125
택배배송,사회,20220119,20220125
집단인지,사회,20220119,20220125
발생할지,사회,20220119,20220125
유튜브채널,사회,20220119,20220125
탐사기획,사회,20220119,20220125
녹취내용,사회,20220119,20220125
동물권행동,사회,20220119,20220125
광주경찰청,사회,20220119,20220125
필수시설,사회,20220119,20220125
업무지속계획,사회,20220119,20220125
특수규격,사회,20220119,20220125
희망친구,사회,20220119,20220125
보조산소,사회,20220119,20220125
전국종합,사회,20220119,20220125
충청매일,사회,20220119,20220125
민생버스,사회,20220119,20220125
교육과정,사회,20220119,20220125
기업공개,사회,20220119,20220125
임금인상,사회,20220119,20220125
2792,사회,20220119,20220125
산모마음,사회,20220119,20220125
120차례,사회,20220119,20220125
방송금지가처분,사회,20220119,20220125
비상경제,사회,20220119,20220125
서산여행,사회,20220119,20220125
문제인지,사회,20220119,20220125
정보통신기술,사회,20220119,20220125
안전보장이사회,사회,20220119,20220125
인정된다고,사회,20220119,20220125
임금체계,사회,20220119,20220125
등록말소,사회,20220119,20220125
공공지원,사회,20220119,20220125
청년정의당,사회,20220119,20220125
적정수익률,사회,20220119,20220125
시험채굴,사회,20220119,20220125
한국방송,사회,20220119,20220125
여론조사업체,사회,20220119,20220125
관련기사,사회,20220119,20220125
지난,사회,20220119,20220125
적극적,사회,20220119,20220125
2021,사회,20220119,20220125
한국사회,사회,20220119,20220125
25,사회,20220119,20220125
200,사회,20220119,20220125
120,사회,20220119,20220125
사회복지,사회,20220119,20220125
사회적,사회,20220119,20220125
1억,사회,20220119,20220125
1억원,사회,20220119,20220125
1000,사회,20220119,20220125
제대,사회,20220119,20220125
중대재해,사회,20220119,20220125
법조계,사회,20220119,20220125
정치적,사회,20220119,20220125
중립성,사회,20220119,20220125
구성원들,사회,20220119,20220125
다하겠다고,사회,20220119,20220125
전문성,사회,20220119,20220125
코로나19,사회,20220119,20220125
현실적,사회,20220119,20220125
자발적,사회,20220119,20220125
초등학교,사회,20220119,20220125
성착취물,사회,20220119,20220125
n번방,사회,20220119,20220125
사회관계망서비스,사회,20220119,20220125
SNS,사회,20220119,20220125
자율적,사회,20220119,20220125
있기,사회,20220119,20220125
자체적,사회,20220119,20220125
지속적,사회,20220119,20220125
것뿐,사회,20220119,20220125
체계적,사회,20220119,20220125
열린공감TV,사회,20220119,20220125
김건희씨,사회,20220119,20220125
7시간,사회,20220119,20220125
민사합,사회,20220119,20220125
촬영기자,사회,20220119,20220125
사실상,사회,20220119,20220125
대통령선거,사회,20220119,20220125
유권자들,사회,20220119,20220125
내용들,사회,20220119,20220125
가족들,사회,20220119,20220125
진행중,사회,20220119,20220125
개인적,사회,20220119,20220125
곳에서,사회,20220119,20220125
진술거부권,사회,20220119,20220125
MBC,사회,20220119,20220125
원칙적,사회,20220119,20220125
예외적,사회,20220119,20220125
학생들,사회,20220119,20220125
정상화,사회,20220119,20220125
임원승인,사회,20220119,20220125
전국적,사회,20220119,20220125
재산권,사회,20220119,20220125
시간대,사회,20220119,20220125
가능성,사회,20220119,20220125
예측범죄지도,사회,20220119,20220125
폐쇄회,사회,20220119,20220125
CC,사회,20220119,20220125
TV,사회,20220119,20220125
CCTV,사회,20220119,20220125
유형별,사회,20220119,20220125
AI,사회,20220119,20220125
세분화,사회,20220119,20220125
300,사회,20220119,20220125
2022,사회,20220119,20220125
수밖,사회,20220119,20220125
시범적,사회,20220119,20220125
내비,사회,20220119,20220125
15,사회,20220119,20220125
젊은,사회,20220119,20220125
손님들,사회,20220119,20220125
가득,사회,20220119,20220125
여기는,사회,20220119,20220125
사람들,사회,20220119,20220125
이모씨,사회,20220119,20220125
중심으로,사회,20220119,20220125
26,사회,20220119,20220125
있다면서,사회,20220119,20220125
그중,사회,20220119,20220125
보내기,사회,20220119,20220125
젊은이들,사회,20220119,20220125
막기,사회,20220119,20220125
시민들,사회,20220119,20220125
받아들,사회,20220119,20220125
수도권화,사회,20220119,20220125
대학들,사회,20220119,20220125
2배,사회,20220119,20220125
기업들,사회,20220119,20220125
1조,사회,20220119,20220125
팬데믹,사회,20220119,20220125
있음,사회,20220119,20220125
재학생,사회,20220119,20220125
지역민들,사회,20220119,20220125
정체성,사회,20220119,20220125
집계치,사회,20220119,20220125
34,사회,20220119,20220125
600,사회,20220119,20220125
6000,사회,20220119,20220125
22,사회,20220119,20220125
160,사회,20220119,20220125
140,사회,20220119,20220125
38,사회,20220119,20220125
407,사회,20220119,20220125
법관징계위원회,사회,20220119,20220125
넘겨졌다,사회,20220119,20220125
목적으로,사회,20220119,20220125
1심,사회,20220119,20220125
조직적,사회,20220119,20220125
도덕성,사회,20220119,20220125
있는지,사회,20220119,20220125
악의적,사회,20220119,20220125
된다고,사회,20220119,20220125
그러면서,사회,20220119,20220125
중요성,사회,20220119,20220125
필요성,사회,20220119,20220125
성남도시개발공사,사회,20220119,20220125
기획본부장,사회,20220119,20220125
필수적,사회,20220119,20220125
설문조사,사회,20220119,20220125
중대재해법,사회,20220119,20220125
위험요소,사회,20220119,20220125
보여주기,사회,20220119,20220125
근본적,사회,20220119,20220125
39,사회,20220119,20220125
경영책임자,사회,20220119,20220125
27,사회,20220119,20220125
기본적,사회,20220119,20220125
것이라고,사회,20220119,20220125
1천,사회,20220119,20220125
99,사회,20220119,20220125
93,사회,20220119,20220125
연관성,사회,20220119,20220125
화정아이파크,사회,20220119,20220125
HD,사회,20220119,20220125
RC,사회,20220119,20220125
사실관계,사회,20220119,20220125
직접적,사회,20220119,20220125
관련성,사회,20220119,20220125
크지,사회,20220119,20220125
보이지,사회,20220119,20220125
700,사회,20220119,20220125
7000,사회,20220119,20220125
PC,사회,20220119,20220125
PCR,사회,20220119,20220125
완료자,사회,20220119,20220125
위중증,사회,20220119,20220125
1377억원,사회,20220119,20220125
23,사회,20220119,20220125
서울남부지법,사회,20220119,20220125
85,사회,20220119,20220125
68,사회,20220119,20220125
761억원,사회,20220119,20220125
일반적,사회,20220119,20220125
분양가,사회,20220119,20220125
공개추첨제,사회,20220119,20220125
양적,사회,20220119,20220125
A아파트,사회,20220119,20220125
37,사회,20220119,20220125
신혼부부,사회,20220119,20220125
생애주기별,사회,20220119,20220125
구체적,사회,20220119,20220125
아이들,사회,20220119,20220125
경제적,사회,20220119,20220125
법적,사회,20220119,20220125
폭발적,사회,20220119,20220125
안에서,사회,20220119,20220125
명예훼손,사회,20220119,20220125
미국으로,사회,20220119,20220125
있었다고,사회,20220119,20220125
동물권,사회,20220119,20220125
복지체계,사회,20220119,20220125
관계자들,사회,20220119,20220125
재활용,사회,20220119,20220125
말들,사회,20220119,20220125
실질적,사회,20220119,20220125
다음날,사회,20220119,20220125
4층,사회,20220119,20220125
전동보장구,사회,20220119,20220125
자치구들,사회,20220119,20220125
다음달,사회,20220119,20220125
데다,사회,20220119,20220125
10만원,사회,20220119,20220125
제도적,사회,20220119,20220125
100만원,사회,20220119,20220125
지역경제,사회,20220119,20220125
활성화,사회,20220119,20220125
소비자들,사회,20220119,20220125
60만원,사회,20220119,20220125
30만원,사회,20220119,20220125
50만원,사회,20220119,20220125
전통시장,사회,20220119,20220125
1만원,사회,20220119,20220125
이슬,사회,20220119,20220125
자신들,사회,20220119,20220125
8000만원,사회,20220119,20220125
의원들,사회,20220119,20220125
10곳,사회,20220119,20220125
11곳,사회,20220119,20220125
동백택시,사회,20220119,20220125
동백전,사회,20220119,20220125
대기업,사회,20220119,20220125
불편사항,사회,20220119,20220125
72,사회,20220119,20220125
물리적,사회,20220119,20220125
상대적,사회,20220119,20220125
87,사회,20220119,20220125
61,사회,20220119,20220125
최다치,사회,20220119,20220125
49,사회,20220119,20220125
32,사회,20220119,20220125
대표적,사회,20220119,20220125
오랜,사회,20220119,20220125
릴레,사회,20220119,20220125
고향사랑기부,사회,20220119,20220125
고향사랑기부제,사회,20220119,20220125
세계무술공원,사회,20220119,20220125
동물병원,사회,20220119,20220125
없기,사회,20220119,20220125
LG,사회,20220119,20220125
대규모,사회,20220119,20220125
제도개혁,사회,20220119,20220125
지방선거,사회,20220119,20220125
파우,사회,20220119,20220125
위험성,사회,20220119,20220125
1단계,사회,20220119,20220125
피해규모,사회,20220119,20220125
직원들,사회,20220119,20220125
독거노인,사회,20220119,20220125
중대재해처벌법,사회,20220119,20220125
울산조선소,사회,20220119,20220125
철재물,사회,20220119,20220125
안전감시자,사회,20220119,20220125
상병급여,사회,20220119,20220125
적기,사회,20220119,20220125
이주어선원,사회,20220119,20220125
특수성,사회,20220119,20220125
불이익,사회,20220119,20220125
호랑,사회,20220119,20220125
한반,사회,20220119,20220125
아는,사회,20220119,20220125
민화작가,사회,20220119,20220125
날카,사회,20220119,20220125
상징성,사회,20220119,20220125
250,사회,20220119,20220125
92,사회,20220119,20220125
1만명대,사회,20220119,20220125
전파율,사회,20220119,20220125
3배,사회,20220119,20220125
5배,사회,20220119,20220125
김기,사회,20220119,20220125
개인정보,사회,20220119,20220125
전체적,사회,20220119,20220125
선수들,사회,20220119,20220125
정말,사회,20220119,20220125
통해서,사회,20220119,20220125
속에서,사회,20220119,20220125
혈중알코올농,사회,20220119,20220125
나가기,사회,20220119,20220125
비정상적,사회,20220119,20220125
이대,사회,20220119,20220125
2시간,사회,20220119,20220125
3시간,사회,20220119,20220125
상태에서,사회,20220119,20220125
엄청,사회,20220119,20220125
복합적,사회,20220119,20220125
위에서,사회,20220119,20220125
때까지,사회,20220119,20220125
무료법률지원,사회,20220119,20220125
않기,사회,20220119,20220125
미성년자들,사회,20220119,20220125
