new_word,category,date1,date2
기초생계,사회,20220119,20220125
방영금지,사회,20220119,20220125
배포금지,사회,20220119,20220125
현지시간,사회,20220119,20220125
지방법원장,사회,20220119,20220125
인천지방법원장,사회,20220119,20220125
가정법원장,사회,20220119,20220125
대구지방법원,사회,20220119,20220125
선임재판연구관,사회,20220119,20220125
창원지방법원,사회,20220119,20220125
고위감사공무원,사회,20220119,20220125
교육파견,사회,20220119,20220125
능력개발이사,사회,20220119,20220125
중대사고,사회,20220119,20220125
장사방법,사회,20220119,20220125
임시선별검사소,사회,20220119,20220125
손실보상금,사회,20220119,20220125
시간강사,사회,20220119,20220125
택배배송,사회,20220119,20220125
범인은닉,사회,20220119,20220125
도박공간개설,사회,20220119,20220125
녹취내용,사회,20220119,20220125
백신접종증명,사회,20220119,20220125
업무지속계획,사회,20220119,20220125
게시금지,사회,20220119,20220125
지역감염,사회,20220119,20220125
특수규격,사회,20220119,20220125
소요시간,사회,20220119,20220125
보조산소,사회,20220119,20220125
여자프로농구,사회,20220119,20220125
요리주점,사회,20220119,20220125
교육위원회,사회,20220119,20220125
교육과정,사회,20220119,20220125
새싹어린이집,사회,20220119,20220125
진단검사체계,사회,20220119,20220125
공동강요,사회,20220119,20220125
택배요금,사회,20220119,20220125
건축학부,사회,20220119,20220125
관양현대아파트,사회,20220119,20220125
강제추행치상,사회,20220119,20220125
스토킹처벌법,사회,20220119,20220125
토지사용,사회,20220119,20220125
전기보일러실,사회,20220119,20220125
전국금속노조,사회,20220119,20220125
정책지원,사회,20220119,20220125
법인재산,사회,20220119,20220125
잔해제거,사회,20220119,20220125
한국방송,사회,20220119,20220125
관련기사,사회,20220119,20220125
분류체계,사회,20220119,20220125
지난,사회,20220119,20220125
한국사회,사회,20220119,20220125
사회복지,사회,20220119,20220125
강화경찰서,사회,20220119,20220125
제대,사회,20220119,20220125
중대재해,사회,20220119,20220125
검찰청법,사회,20220119,20220125
중립성,사회,20220119,20220125
제34조,사회,20220119,20220125
검찰인사위원회,사회,20220119,20220125
코로나19,사회,20220119,20220125
자발적,사회,20220119,20220125
성범죄물,사회,20220119,20220125
성착취물,사회,20220119,20220125
사회관계,사회,20220119,20220125
사회관계망서비스,사회,20220119,20220125
SNS,사회,20220119,20220125
자율적,사회,20220119,20220125
있기,사회,20220119,20220125
지속적,사회,20220119,20220125
것뿐,사회,20220119,20220125
열린공감TV,사회,20220119,20220125
김건희씨,사회,20220119,20220125
민사합,사회,20220119,20220125
촬영기자,사회,20220119,20220125
사실상,사회,20220119,20220125
대통령선거,사회,20220119,20220125
유권자들,사회,20220119,20220125
진행중,사회,20220119,20220125
수상실적,사회,20220119,20220125
MBC,사회,20220119,20220125
원칙적,사회,20220119,20220125
예외적,사회,20220119,20220125
전국적,사회,20220119,20220125
예측범죄지도,사회,20220119,20220125
폐쇄회,사회,20220119,20220125
TV,사회,20220119,20220125
CCTV,사회,20220119,20220125
서초스마트허브센터,사회,20220119,20220125
AI,사회,20220119,20220125
수밖,사회,20220119,20220125
내비,사회,20220119,20220125
이모씨,사회,20220119,20220125
중심으로,사회,20220119,20220125
다른,사회,20220119,20220125
있음,사회,20220119,20220125
재학생,사회,20220119,20220125
금방,사회,20220119,20220125
지역민들,사회,20220119,20220125
변호사들,사회,20220119,20220125
목적으로,사회,20220119,20220125
악의적,사회,20220119,20220125
성남도시개발공사,사회,20220119,20220125
기획본부장,사회,20220119,20220125
필수적,사회,20220119,20220125
설문조사,사회,20220119,20220125
중대재해법,사회,20220119,20220125
안전감시,사회,20220119,20220125
위험요소,사회,20220119,20220125
형식적,사회,20220119,20220125
경영책임자,사회,20220119,20220125
화정아이파크,사회,20220119,20220125
사실관계,사회,20220119,20220125
한달,사회,20220119,20220125
PC,사회,20220119,20220125
PCR,사회,20220119,20220125
위중증,사회,20220119,20220125
서울남부지법,사회,20220119,20220125
부패재산,사회,20220119,20220125
분양가구,사회,20220119,20220125
공개추첨제,사회,20220119,20220125
법률전문가,사회,20220119,20220125
A아파트,사회,20220119,20220125
신혼부부,사회,20220119,20220125
불구,사회,20220119,20220125
정보통신,사회,20220119,20220125
기자회견,사회,20220119,20220125
미국으로,사회,20220119,20220125
까미,사회,20220119,20220125
복지체계,사회,20220119,20220125
재활용,사회,20220119,20220125
실질적,사회,20220119,20220125
다음날,사회,20220119,20220125
유증기,사회,20220119,20220125
금강유역환경청,사회,20220119,20220125
대표이사,사회,20220119,20220125
산업안,사회,20220119,20220125
전동보장구,사회,20220119,20220125
다음달,사회,20220119,20220125
데다,사회,20220119,20220125
지역경제,사회,20220119,20220125
전통시장,사회,20220119,20220125
국정감사에서,사회,20220119,20220125
동백택시,사회,20220119,20220125
동백전,사회,20220119,20220125
대기업,사회,20220119,20220125
불편사항,사회,20220119,20220125
500,사회,20220119,20220125
상대적,사회,20220119,20220125
오랜,사회,20220119,20220125
적극행정,사회,20220119,20220125
릴레,사회,20220119,20220125
고향사랑기부,사회,20220119,20220125
고향사랑기부제,사회,20220119,20220125
세계무술공원,사회,20220119,20220125
동물병원,사회,20220119,20220125
없기,사회,20220119,20220125
한화솔루션,사회,20220119,20220125
박상,사회,20220119,20220125
MRI,사회,20220119,20220125
대규모,사회,20220119,20220125
한국경제,사회,20220119,20220125
법률사무소,사회,20220119,20220125
지방선거,사회,20220119,20220125
피해규모,사회,20220119,20220125
직원들,사회,20220119,20220125
독거노인,사회,20220119,20220125
중대재해처벌법,사회,20220119,20220125
울산조선소,사회,20220119,20220125
철재물,사회,20220119,20220125
안전감시자,사회,20220119,20220125
상병급여,사회,20220119,20220125
적기,사회,20220119,20220125
이주어선원,사회,20220119,20220125
불이익,사회,20220119,20220125
한반,사회,20220119,20220125
아는,사회,20220119,20220125
민화작가,사회,20220119,20220125
날카,사회,20220119,20220125
전시회를,사회,20220119,20220125
명예교수,사회,20220119,20220125
확진자수,사회,20220119,20220125
고등법원장,사회,20220119,20220125
박종,사회,20220119,20220125
윤성,사회,20220119,20220125
김봉,사회,20220119,20220125
범죄수익환수,사회,20220119,20220125
고양지청,사회,20220119,20220125
남양주지청,사회,20220119,20220125
안산지청,사회,20220119,20220125
김기,사회,20220119,20220125
개인정보,사회,20220119,20220125
정말,사회,20220119,20220125
속에서,사회,20220119,20220125
혈중알코올농,사회,20220119,20220125
비정상적,사회,20220119,20220125
이대,사회,20220119,20220125
상태에서,사회,20220119,20220125
엄청,사회,20220119,20220125
복합적,사회,20220119,20220125
팬들,사회,20220119,20220125
위에서,사회,20220119,20220125
때까지,사회,20220119,20220125
무료법률지원,사회,20220119,20220125
않기,사회,20220119,20220125
법률대리인,사회,20220119,20220125
팀장으로,사회,20220119,20220125
그런데,사회,20220119,20220125
범죄예방기획,사회,20220119,20220125
치료처우,사회,20220119,20220125
과학기술,사회,20220119,20220125
고위공직자범죄,사회,20220119,20220125
고위공직자범죄수사처,사회,20220119,20220125
서울사,사회,20220119,20220125
김두,사회,20220119,20220125
안전센터,사회,20220119,20220125
대선후보,사회,20220119,20220125
대선후보들,사회,20220119,20220125
사용자,사회,20220119,20220125
아직,사회,20220119,20220125
종합적,사회,20220119,20220125
공정수당,사회,20220119,20220125
추가수당,사회,20220119,20220125
불안정,사회,20220119,20220125
일시적,사회,20220119,20220125
너무나,사회,20220119,20220125
금전적,사회,20220119,20220125
것만,사회,20220119,20220125
경제활동,사회,20220119,20220125
탑승장,사회,20220119,20220125
이차,사회,20220119,20220125
본격적,사회,20220119,20220125
위태,사회,20220119,20220125
상단부,사회,20220119,20220125
조정실,사회,20220119,20220125
성공적,사회,20220119,20220125
국민건강보험,사회,20220119,20220125
효과적,사회,20220119,20220125
정기적,사회,20220119,20220125
까다,사회,20220119,20220125
그럼,사회,20220119,20220125
행정예고,사회,20220119,20220125
방역수칙,사회,20220119,20220125
질병관리청,사회,20220119,20220125
끊임,사회,20220119,20220125
팍스로비드,사회,20220119,20220125
중등증,사회,20220119,20220125
생활치료센터,사회,20220119,20220125
많지,사회,20220119,20220125
감염내,사회,20220119,20220125
감염병전담병원,사회,20220119,20220125
우세종화,사회,20220119,20220125
의료체계,사회,20220119,20220125
치료체계,사회,20220119,20220125
다음주,사회,20220119,20220125
우세지역,사회,20220119,20220125
신속항원검사,사회,20220119,20220125
자가검사키트,사회,20220119,20220125
호흡기전담클리닉,사회,20220119,20220125
방역패스,사회,20220119,20220125
음성확인제,사회,20220119,20220125
의원급,사회,20220119,20220125
외래진료센터,사회,20220119,20220125
적절성,사회,20220119,20220125
대응단계,사회,20220119,20220125
맞지,사회,20220119,20220125
비공,사회,20220119,20220125
비공개,사회,20220119,20220125
사건사무규칙,사회,20220119,20220125
의사소견서,사회,20220119,20220125
유증상자,사회,20220119,20220125
정창욱씨,사회,20220119,20220125
한국동물보호연합,사회,20220119,20220125
공영방,사회,20220119,20220125
미국인도주의협회,사회,20220119,20220125
데려,사회,20220119,20220125
성관계,사회,20220119,20220125
층층,사회,20220119,20220125
신청대상자,사회,20220119,20220125
이용자들,사회,20220119,20220125
금융위원회,사회,20220119,20220125
전화번호,사회,20220119,20220125
화천대유,사회,20220119,20220125
화천대유자산관리,사회,20220119,20220125
대주,사회,20220119,20220125
김만배씨,사회,20220119,20220125
사업협,사회,20220119,20220125
깊숙,사회,20220119,20220125
위반으로,사회,20220119,20220125
형사사건,사회,20220119,20220125
탈황석고,사회,20220119,20220125
뜬금,사회,20220119,20220125
부산롯데타워,사회,20220119,20220125
백화점동,사회,20220119,20220125
임시사용승인,사회,20220119,20220125
공중수목원,사회,20220119,20220125
진정성,사회,20220119,20220125
작은도서관,사회,20220119,20220125
소나무지역아동센터,사회,20220119,20220125
한부모,사회,20220119,20220125
비우기,사회,20220119,20220125
처리기한,사회,20220119,20220125
대도시,사회,20220119,20220125
그로,사회,20220119,20220125
서울의소리,사회,20220119,20220125
하더,사회,20220119,20220125
주한미군,사회,20220119,20220125
진단검사,사회,20220119,20220125
천씨,사회,20220119,20220125
분양합숙소,사회,20220119,20220125
가출인,사회,20220119,20220125
휴대전화,사회,20220119,20220125
ID,사회,20220119,20220125
형사합,사회,20220119,20220125
윤중천씨,사회,20220119,20220125
면담보고서,사회,20220119,20220125
CG,사회,20220119,20220125
룩북,사회,20220119,20220125
심리적,사회,20220119,20220125
자원봉사자,사회,20220119,20220125
누군,사회,20220119,20220125
감염병예방법,사회,20220119,20220125
수용인원,사회,20220119,20220125
불자들,사회,20220119,20220125
-1,사회,20220119,20220125
선별검사소,사회,20220119,20220125
의료재단,사회,20220119,20220125
응급의학,사회,20220119,20220125
스키강사,사회,20220119,20220125
비현실적,사회,20220119,20220125
소극적,사회,20220119,20220125
용적률,사회,20220119,20220125
아워월드인데이터,사회,20220119,20220125
갑작,사회,20220119,20220125
부스터샷,사회,20220119,20220125
예방효과,사회,20220119,20220125
거리두기,사회,20220119,20220125
수사개시,사회,20220119,20220125
정부세종컨벤션센터,사회,20220119,20220125
학령인구,사회,20220119,20220125
성남시의장,사회,20220119,20220125
추징보,사회,20220119,20220125
법인카드,사회,20220119,20220125
심문기일,사회,20220119,20220125
이명수씨,사회,20220119,20220125
의도적,사회,20220119,20220125
것임,사회,20220119,20220125
세입자들,사회,20220119,20220125
신빙성,사회,20220119,20220125
아동보호센터,사회,20220119,20220125
큰아들,사회,20220119,20220125
넘기기,사회,20220119,20220125
D양,사회,20220119,20220125
도시개발,사회,20220119,20220125
MZ세대,사회,20220119,20220125
유튜브로,사회,20220119,20220125
무차별적,사회,20220119,20220125
글로,사회,20220119,20220125
사나,사회,20220119,20220125
그밖,사회,20220119,20220125
핵심적,사회,20220119,20220125
절대적,사회,20220119,20220125
이례적,사회,20220119,20220125
명시적,사회,20220119,20220125
간부들,사회,20220119,20220125
합리적,사회,20220119,20220125
감정적,사회,20220119,20220125
JTBC,사회,20220119,20220125
경찰관들,사회,20220119,20220125
찾기,사회,20220119,20220125
수사기록,사회,20220119,20220125
무혐의,사회,20220119,20220125
형사수석부장판사,사회,20220119,20220125
영장청구서,사회,20220119,20220125
종로5,사회,20220119,20220125
북부도로사업소,사회,20220119,20220125
동대문역,사회,20220119,20220125
배우들,사회,20220119,20220125
마포경찰서,사회,20220119,20220125
계획적,사회,20220119,20220125
다행히,사회,20220119,20220125
당국으로,사회,20220119,20220125
가세연,사회,20220119,20220125
콘텐트,사회,20220119,20220125
경기서울연합,사회,20220119,20220125
